Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Trip.com Group Limited,TCOM,"$42,795,764,671",$0.76,time-after-hours,Mar/2025,2,$0.74,2025-05-19 05:20:48
Ryanair Holdings plc,RYAAY,"$27,976,865,331",($0.65),time-not-supplied,Mar/2025,2,($0.52),2025-05-19 05:20:48
ICL Group Ltd.,ICL,"$8,749,198,326",$0.08,time-pre-market,Mar/2025,2,$0.09,2025-05-19 05:20:48
"Qifu Technology, Inc",QFIN,"$6,203,315,716",$1.72,time-after-hours,Mar/2025,1,$1.02,2025-05-19 05:20:48
Lufax Holding Ltd,LU,"$2,530,588,800",,time-not-supplied,Mar/2025,N/A,($0.21),2025-05-19 05:20:48
"Agilysys, Inc.",AGYS,"$2,313,181,087",$0.14,time-after-hours,Mar/2025,3,$0.19,2025-05-19 05:20:48
ZIM Integrated Shipping Services Ltd.,ZIM,"$2,171,848,905",$1.89,time-pre-market,Mar/2025,2,$0.75,2025-05-19 05:20:48
"PACS Group, Inc.",PACS,"$1,624,581,154",$0.42,time-not-supplied,Mar/2025,1,$0.38,2025-05-19 05:20:48
FS Credit Opportunities Corp.,FSCO,"$1,386,507,741",,time-after-hours,Mar/2025,N/A,N/A,2025-05-19 05:20:48
EHang Holdings Limited,EH,"$1,374,190,939",,time-not-supplied,Mar/2025,N/A,($0.14),2025-05-19 05:20:48
Yalla Group Limited,YALA,"$1,222,478,219",,time-after-hours,Mar/2025,N/A,$0.17,2025-05-19 05:20:48
"Global Ship Lease, Inc.",GSL,"$884,469,044",$2.27,time-pre-market,Mar/2025,2,$2.53,2025-05-19 05:20:48
Oxford Lane Capital Corp.,OXLC,"$861,056,000",,time-pre-market,Mar/2025,2,$0.35,2025-05-19 05:20:48
"Transcat, Inc.",TRNS,"$753,043,028",$0.66,time-after-hours,Mar/2025,2,$0.77,2025-05-19 05:20:48
Target Hospitality Corp.,TH,"$694,553,822",($0.02),time-pre-market,Mar/2025,3,$0.20,2025-05-19 05:20:48
BitFuFu Inc.,FUFU,"$598,601,277",$0.04,time-not-supplied,Mar/2025,2,$0.23,2025-05-19 05:20:48
"Safe Bulkers, Inc",SB,"$390,550,632",$0.03,time-after-hours,Mar/2025,1,$0.20,2025-05-19 05:20:48
TAT Technologies Ltd.,TATT,"$385,210,005",,time-after-hours,Mar/2025,N/A,$0.19,2025-05-19 05:20:48
Gilat Satellite Networks Ltd.,GILT,"$381,760,515",$0.07,time-pre-market,Mar/2025,1,$0.11,2025-05-19 05:20:48
Sohu.com Limited ,SOHU,"$330,118,092",,time-pre-market,Mar/2025,2,($0.66),2025-05-19 05:20:48
Lifezone Metals Limited,LZM,"$291,040,459",($0.12),time-not-supplied,Mar/2025,1,($0.05),2025-05-19 05:20:48
Niu Technologies,NIU,"$266,636,784",,time-pre-market,Mar/2025,2,($0.10),2025-05-19 05:20:48
8x8 Inc,EGHT,"$238,365,545",$0.01,time-after-hours,Mar/2025,3,($0.05),2025-05-19 05:20:48
"G. Willi-Food International,  Ltd.",WILC,"$216,325,465",,time-not-supplied,Mar/2025,N/A,$0.36,2025-05-19 05:20:48
