Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Coca-Cola Europacific Partners plc,CCEP,"$41,777,884,623",,time-not-supplied,Mar/2025,4,N/A,2025-06-06 05:21:11
KT Corporation,KT,"$9,454,735,103",,time-not-supplied,Mar/2025,N/A,$0.57,2025-06-06 05:21:11
Sibanye Stillwater Limited,SBSW,"$4,267,080,150",,time-not-supplied,Mar/2025,4,N/A,2025-06-06 05:21:11
Cheetah Mobile Inc.,CMCM,"$3,329,939,292",,time-not-supplied,Mar/2025,4,($0.36),2025-06-06 05:21:11
ABM Industries Incorporated,ABM,"$3,256,571,098",$0.87,time-pre-market,Apr/2025,4,$0.87,2025-06-06 05:21:11
Manchester United Ltd.,MANU,"$2,363,676,041",($0.33),time-pre-market,Mar/2025,2,($0.31),2025-06-06 05:21:11
"G-III Apparel Group, LTD.",GIII,"$1,246,283,079",$0.12,time-pre-market,Apr/2025,1,$0.12,2025-06-06 05:21:11
QuantaSing Group Limited,QSG,"$299,522,198",$0.17,time-pre-market,Mar/2025,1,$0.03,2025-06-06 05:21:11
Gencor Industries Inc.,GENC,"$208,872,254",,time-not-supplied,Mar/2025,4,$0.42,2025-06-06 05:21:11
ALT5 Sigma Corporation,ALTS,"$169,833,842",,time-not-supplied,Mar/2025,4,($0.34),2025-06-06 05:21:11
"Children's Place, Inc. (The)",PLCE,"$140,155,206",,time-after-hours,Apr/2025,4,($1.18),2025-06-06 05:21:11
"Vroom, Inc.",VRM,"$135,742,473",,time-not-supplied,Mar/2025,4,($99.99),2025-06-06 05:21:11
Virco Manufacturing Corporation,VIRC,"$133,924,958",($0.13),time-not-supplied,Apr/2025,1,$0.13,2025-06-06 05:21:11
"FuelCell Energy, Inc.",FCEL,"$119,250,874",($1.51),time-pre-market,Apr/2025,4,($2.10),2025-06-06 05:21:11
"Hurco Companies, Inc.",HURC,"$94,017,855",,time-not-supplied,Apr/2025,4,($0.61),2025-06-06 05:21:11
FST Corp.,KBSX,"$60,399,010",,time-not-supplied,Mar/2025,4,($0.10),2025-06-06 05:21:11
Toro Corp.,TORO,"$41,433,661",,time-not-supplied,Mar/2025,4,$0.51,2025-06-06 05:21:11
180 Degree Capital Corp.,TURN,"$39,600,558",,time-not-supplied,Mar/2025,4,N/A,2025-06-06 05:21:11
Globus Maritime Limited,GLBS,"$25,727,876",,time-not-supplied,Mar/2025,4,($0.01),2025-06-06 05:21:11
Huize Holding Limited,HUIZ,"$20,278,038",,time-pre-market,Mar/2025,4,$0.10,2025-06-06 05:21:11
ZOOZ Power Ltd.,ZOOZ,"$13,437,101",,time-not-supplied,Mar/2025,4,N/A,2025-06-06 05:21:11
Safe & Green Holdings Corp.,SGBX,"$7,283,507",,time-not-supplied,Mar/2025,4,($4.93),2025-06-06 05:21:11
"VivoSim Labs, Inc.",VIVS,"$3,294,000",,time-not-supplied,Mar/2025,N/A,($3.48),2025-06-06 05:21:11
CIMG Inc.,IMG,"$2,129,199",,time-not-supplied,Mar/2025,4,($1.28),2025-06-06 05:21:11
