Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Intuit Inc.,INTU,"$187,630,831,920",$9.63,time-after-hours,Apr/2025,7,$8.63,2025-05-22 05:21:07
Toronto Dominion Bank (The),TD,"$113,406,480,000",$1.24,time-pre-market,Apr/2025,3,$1.50,2025-05-22 05:21:07
"Analog Devices, Inc.",ADI,"$111,341,760,669",$1.69,time-pre-market,Apr/2025,11,$1.40,2025-05-22 05:21:07
"Workday, Inc.",WDAY,"$72,841,440,000",$0.69,time-after-hours,Apr/2025,11,$0.51,2025-05-22 05:21:07
"National Grid Transco, PLC",NGG,"$70,059,270,560",,time-not-supplied,Mar/2025,12,N/A,2025-05-22 05:21:07
"Autodesk, Inc.",ADSK,"$63,605,600,000",$1.50,time-after-hours,Apr/2025,9,$1.29,2025-05-22 05:21:07
"Copart, Inc.",CPRT,"$59,530,647,949",$0.42,time-after-hours,Apr/2025,3,$0.39,2025-05-22 05:21:07
"Ross Stores, Inc.",ROST,"$50,717,423,379",$1.43,time-after-hours,Apr/2025,9,$1.46,2025-05-22 05:21:07
Ferrovial SE,FER,"$37,903,394,022",,time-not-supplied,Mar/2025,12,N/A,2025-05-22 05:21:07
"Williams-Sonoma, Inc.",WSM,"$21,307,858,077",$1.76,time-pre-market,Apr/2025,9,$2.04,2025-05-22 05:21:07
Deckers Outdoor Corporation,DECK,"$19,554,515,649",$0.56,time-after-hours,Mar/2025,10,$0.82,2025-05-22 05:21:07
Ralph Lauren Corporation,RL,"$17,306,333,043",$1.99,time-pre-market,Mar/2025,6,$1.71,2025-05-22 05:21:07
"BJ's Wholesale Club Holdings, Inc.",BJ,"$15,680,095,017",$0.91,time-pre-market,Apr/2025,10,$0.85,2025-05-22 05:21:07
KANZHUN LIMITED,BZ,"$7,873,063,581",$0.12,time-pre-market,Mar/2025,1,$0.07,2025-05-22 05:21:07
StepStone Group Inc.,STEP,"$6,776,535,409",$0.46,time-after-hours,Mar/2025,3,$0.33,2025-05-22 05:21:07
Macro Bank Inc.,BMA,"$6,092,970,384",$1.66,time-not-supplied,Mar/2025,1,$5.02,2025-05-22 05:21:07
