Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"Marvell Technology, Inc.",MRVL,"$79,451,846,000",$0.42,time-after-hours,Jan/2025,13,$0.28,2025-03-05 05:18:54
Veeva Systems Inc.,VEEV,"$36,389,208,121",$1.02,time-after-hours,Jan/2025,10,$0.92,2025-03-05 05:18:54
"Zscaler, Inc.",ZS,"$30,109,260,991",($0.06),time-after-hours,Jan/2025,13,($0.16),2025-03-05 05:18:54
"MongoDB, Inc.",MDB,"$19,915,671,488",($0.54),time-after-hours,Jan/2025,10,($1.03),2025-03-05 05:18:54
Brown Forman Corporation,BF.B,"$15,649,815,775",$0.47,time-pre-market,Jan/2025,7,$0.60,2025-03-05 05:18:54
Brown Forman Corporation,BF.A,"$15,612,002,871",,time-pre-market,Jan/2025,2,$0.60,2025-03-05 05:18:54
YPF Sociedad Anonima,YPF,"$13,785,613,395",$0.51,time-not-supplied,Dec/2024,1,$2,2025-03-05 05:18:54
Full Truck Alliance Co. Ltd.,YMM,"$12,370,068,707",$0.13,time-pre-market,Dec/2024,1,$0.08,2025-03-05 05:18:54
The Campbell's Company,CPB,"$11,942,256,315",$0.73,time-pre-market,Jan/2025,9,$0.80,2025-03-05 05:18:54
The Descartes Systems Group Inc.,DSGX,"$9,536,791,831",$0.43,time-after-hours,Jan/2025,2,$0.37,2025-03-05 05:18:54
South Bow Corporation,SOBO,"$5,527,599,992",$0.41,time-after-hours,Dec/2024,2,N/A,2025-03-05 05:18:54
Macro Bank Inc.,BMA,"$5,357,644,962",$2.41,time-not-supplied,Dec/2024,2,$8.89,2025-03-05 05:18:54
"Thor Industries, Inc.",THO,"$5,289,512,742",$0.07,time-pre-market,Jan/2025,8,$0.40,2025-03-05 05:18:54
Abercrombie & Fitch Company,ANF,"$5,187,883,240",$3.48,time-pre-market,Jan/2025,7,$2.97,2025-03-05 05:18:54
LandBridge Company LLC,LB,"$5,060,627,896",$0.38,time-after-hours,Dec/2024,2,N/A,2025-03-05 05:18:54
Pampa Energia S.A.,PAM,"$4,177,362,391",$0.36,time-after-hours,Dec/2024,3,($2.90),2025-03-05 05:18:54
Banco BBVA Argentina S.A.,BBAR,"$3,831,480,361",$0.37,time-after-hours,Dec/2024,1,$0.59,2025-03-05 05:18:54
"Kodiak Gas Services, Inc.",KGS,"$3,765,496,197",$0.26,time-after-hours,Dec/2024,2,$0.19,2025-03-05 05:18:54
Grindr Inc.,GRND,"$3,240,837,375",$0.09,time-after-hours,Dec/2024,1,$0.04,2025-03-05 05:18:54
Victorias Secret & Co.,VSCO,"$2,101,555,101",$2.30,time-after-hours,Jan/2025,6,$2.58,2025-03-05 05:18:54
"Foot Locker, Inc.",FL,"$1,643,475,073",$0.73,time-pre-market,Jan/2025,8,$0.38,2025-03-05 05:18:54
"Rigetti Computing, Inc. ",RGTI,"$1,626,822,544",($0.08),time-after-hours,Dec/2024,2,($0.09),2025-03-05 05:18:54
"REV Group, Inc.",REVG,"$1,590,013,800",$0.22,time-pre-market,Jan/2025,2,$0.20,2025-03-05 05:18:54
"CompoSecure, Inc. ",CMPO,"$1,358,505,327",$0.21,time-after-hours,Dec/2024,3,$0.26,2025-03-05 05:18:54
Fortuna Mining Corp.,FSM,"$1,353,589,181",$0.16,time-after-hours,Dec/2024,1,$0.07,2025-03-05 05:18:54
Universal Corporation,UVV,"$1,323,778,167",,time-not-supplied,Dec/2024,2,$2.16,2025-03-05 05:18:54
Vermilion Energy Inc.,VET,"$1,320,458,000",$0.36,time-after-hours,Dec/2024,2,$0.95,2025-03-05 05:18:54
