Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Constellation Brands Inc,STZ,"$31,192,248,000",$2.27,time-after-hours,Feb/2025,9,$2.26,2025-04-09 05:19:36
"Delta Air Lines, Inc.",DAL,"$24,087,923,204",$0.40,time-pre-market,Mar/2025,9,$0.45,2025-04-09 05:19:36
The Simply Good Foods Company,SMPL,"$3,423,989,527",$0.35,time-pre-market,Feb/2025,5,$0.36,2025-04-09 05:19:36
"PriceSmart, Inc.",PSMT,"$2,569,504,511",,time-after-hours,Feb/2025,N/A,$1.31,2025-04-09 05:19:36
Neogen Corporation,NEOG,"$1,703,010,533",$0.12,time-pre-market,Feb/2025,2,$0.12,2025-04-09 05:19:36
"Nurix Therapeutics, Inc.",NRIX,"$737,619,861",($0.72),time-not-supplied,Feb/2025,8,($0.76),2025-04-09 05:19:36
Pure Cycle Corporation,PCYO,"$248,714,470",,time-after-hours,Feb/2025,9,N/A,2025-04-09 05:19:36
"Richardson Electronics, Ltd.",RELL,"$136,161,346",$0.08,time-after-hours,Feb/2025,2,$0.05,2025-04-09 05:19:36
"Lakeland Industries, Inc.",LAKE,"$125,080,652",$0.43,time-after-hours,Jan/2025,1,$0.22,2025-04-09 05:19:36
Theratechnologies Inc.,THTX,"$75,407,231",,time-pre-market,Feb/2025,N/A,($0.10),2025-04-09 05:19:36
"AXIL Brands, Inc.",AXIL,"$29,424,177",,time-not-supplied,Feb/2025,9,$0.04,2025-04-09 05:19:36
SemiLEDS Corporation,LEDS,"$15,361,002",,time-not-supplied,Feb/2025,9,($0.11),2025-04-09 05:19:36
