Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Ferguson Enterprises Inc.,FERG,"$33,621,558,576",$1.58,time-pre-market,Jan/2025,6,$1.74,2025-03-11 05:19:05
Viking Holdings Ltd,VIK,"$19,437,048,831",$0.36,time-pre-market,Dec/2024,2,N/A,2025-03-11 05:19:05
Dick's Sporting Goods Inc,DKS,"$17,491,783,806",$3.49,time-pre-market,Jan/2025,13,$3.85,2025-03-11 05:19:05
"Caseys General Stores, Inc.",CASY,"$14,672,569,096",$1.83,time-after-hours,Jan/2025,4,$2.33,2025-03-11 05:19:05
Korea Electric Power Corporation,KEP,"$9,822,050,378",,time-not-supplied,Dec/2024,2,$0.73,2025-03-11 05:19:05
Ciena Corporation,CIEN,"$9,724,970,166",$0.19,time-pre-market,Jan/2025,7,$0.43,2025-03-11 05:19:05
NIO Inc.,NIO,"$8,849,596,670",($0.42),time-not-supplied,Dec/2024,2,($0.45),2025-03-11 05:19:05
KANZHUN LIMITED,BZ,"$7,628,321,279",$0.13,time-pre-market,Dec/2024,2,$0.10,2025-03-11 05:19:05
Legend Biotech Corporation,LEGN,"$6,217,719,176",($0.39),time-pre-market,Dec/2024,9,($0.40),2025-03-11 05:19:05
Korn Ferry ,KFY,"$3,364,243,977",$1.13,time-pre-market,Jan/2025,2,$1.07,2025-03-11 05:19:05
"TWFG, Inc.",TWFG,"$1,722,047,385",$0.10,time-not-supplied,Dec/2024,2,N/A,2025-03-11 05:19:05
"United Natural Foods, Inc.",UNFI,"$1,640,584,903",$0.18,time-pre-market,Jan/2025,4,$0.07,2025-03-11 05:19:05
"Cadre Holdings, Inc.",CDRE,"$1,336,814,965",$0.48,time-after-hours,Dec/2024,4,$0.29,2025-03-11 05:19:05
Kohl's Corporation,KSS,"$1,250,095,570",$0.72,time-pre-market,Jan/2025,7,$1.67,2025-03-11 05:19:05
