Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Walmart Inc.,WMT,"$768,655,524,691",$0.57,time-pre-market,Apr/2025,13,$0.60,2025-05-15 05:21:09
Alibaba Group Holding Limited,BABA,"$313,566,146,964",$1.27,time-pre-market,Mar/2025,2,$1.05,2025-05-15 05:21:09
"Applied Materials, Inc.",AMAT,"$140,576,640,102",$2.31,time-after-hours,Apr/2025,11,$2.09,2025-05-15 05:21:09
Deere & Company,DE,"$135,318,841,584",$5.68,time-pre-market,Apr/2025,11,$8.53,2025-05-15 05:21:09
"NetEase, Inc.",NTES,"$67,372,297,418",$1.79,time-pre-market,Mar/2025,2,$1.63,2025-05-15 05:21:09
"Mizuho Financial Group, Inc.",MFG,"$65,621,905,043",$0,time-pre-market,Mar/2025,1,($0.05),2025-05-15 05:21:09
"Take-Two Interactive Software, Inc.",TTWO,"$39,916,268,869",$0.69,time-after-hours,Mar/2025,8,($0.07),2025-05-15 05:21:09
Telefonica SA,TEF,"$27,613,686,768",$0.08,time-not-supplied,Mar/2025,1,$0.11,2025-05-15 05:21:09
TELUS Corporation,TU,"$23,537,600,000",$0.15,time-not-supplied,Mar/2025,6,$0.19,2025-05-15 05:21:09
KE Holdings Inc,BEKE,"$23,274,682,420",$0.10,time-pre-market,Mar/2025,1,$0.07,2025-05-15 05:21:09
Credicorp Ltd.,BAP,"$19,487,116,991",$5.31,time-after-hours,Mar/2025,3,$5.06,2025-05-15 05:21:09
Shinhan Financial Group Co Ltd,SHG,"$18,486,512,334",$1.94,time-not-supplied,Mar/2025,1,$1.89,2025-05-15 05:21:09
"CAVA Group, Inc.",CAVA,"$11,524,780,125",$0.14,time-after-hours,Mar/2025,7,$0.12,2025-05-15 05:21:09
"Doximity, Inc.",DOCS,"$11,338,910,316",$0.20,time-after-hours,Mar/2025,7,$0.20,2025-05-15 05:21:09
NICE Ltd,NICE,"$10,551,338,809",$2.25,time-pre-market,Mar/2025,8,$2.01,2025-05-15 05:21:09
Birkenstock Holding plc,BIRK,"$10,157,803,244",$0.57,time-pre-market,Mar/2025,8,$0.44,2025-05-15 05:21:09
"Advanced Drainage Systems, Inc.",WMS,"$9,584,349,367",$1.09,time-pre-market,Mar/2025,2,$1.23,2025-05-15 05:21:09
ZEEKR Intelligent Technology Holding Limited,ZK,"$7,270,037,460",,time-pre-market,Mar/2025,N/A,($1.40),2025-05-15 05:21:09
"Dillard's, Inc.",DDS,"$6,264,370,010",$9.10,time-not-supplied,Apr/2025,3,$11.09,2025-05-15 05:21:09
Globant S.A.,GLOB,"$6,182,234,521",$1.22,time-after-hours,Mar/2025,7,$1.19,2025-05-15 05:21:09
Telix Pharmaceuticals Limited,TLX,"$5,593,246,144",$0.22,time-not-supplied,Mar/2025,1,N/A,2025-05-15 05:21:09
South Bow Corporation,SOBO,"$5,257,198,824",$0.43,time-after-hours,Mar/2025,1,N/A,2025-05-15 05:21:09
PLDT Inc.,PHI,"$5,040,581,231",,time-not-supplied,Mar/2025,N/A,$0.74,2025-05-15 05:21:09
VEON Ltd.,VEON,"$3,790,840,884",,time-pre-market,Mar/2025,1,$0.75,2025-05-15 05:21:09
Marex Group plc,MRX,"$3,397,158,520",$0.89,time-pre-market,Mar/2025,1,N/A,2025-05-15 05:21:09
"LG Display Co., Ltd.",LPL,"$3,230,000,000",$0.19,time-not-supplied,Mar/2025,2,($0.81),2025-05-15 05:21:09
Bitdeer Technologies Group,BTDR,"$2,839,046,930",($0.48),time-pre-market,Mar/2025,4,$0.01,2025-05-15 05:21:09
ATS Corporation,ATS,"$2,750,745,862",$0.26,time-not-supplied,Mar/2025,5,$0.48,2025-05-15 05:21:09
Hafnia Limited,HAFN,"$2,569,626,553",$0.12,time-pre-market,Mar/2025,1,$0.43,2025-05-15 05:21:09
National Steel Company,SID,"$2,174,794,073",$0.21,time-not-supplied,Mar/2025,1,($0.09),2025-05-15 05:21:09
NextDecade Corporation,NEXT,"$2,165,255,503",($0.44),time-not-supplied,Mar/2025,1,($0.83),2025-05-15 05:21:09
"Despegar.com, Corp.",DESP,"$1,627,152,389",$0.22,time-not-supplied,Mar/2025,2,$0.18,2025-05-15 05:21:09
Xunlei Limited,XNET,"$1,462,624,952",,time-pre-market,Mar/2025,1,$0.06,2025-05-15 05:21:09
Quantum Computing Inc.,QUBT,"$1,206,379,551",,time-after-hours,Mar/2025,1,($0.08),2025-05-15 05:21:09
"Youdao, Inc.",DAO,"$1,097,645,706",,time-pre-market,Mar/2025,1,$0.01,2025-05-15 05:21:09
"Falcon's Beyond Global, Inc.",FBYD,"$940,775,354",,time-not-supplied,Mar/2025,1,$1.27,2025-05-15 05:21:09
Gaotu Techedu Inc.,GOTU,"$929,297,273",,time-pre-market,Mar/2025,1,($0.01),2025-05-15 05:21:09
Adecoagro S.A.,AGRO,"$894,938,746",,time-not-supplied,Mar/2025,N/A,$0.22,2025-05-15 05:21:09
Magic Software Enterprises Ltd.,MGIC,"$746,309,436",$0.25,time-not-supplied,Mar/2025,1,$0.23,2025-05-15 05:21:09
Canadian Solar Inc.,CSIQ,"$679,662,219",($1.50),time-pre-market,Mar/2025,4,$0.19,2025-05-15 05:21:09
Solaris Resources Inc.,SLSR,"$672,527,920",,time-not-supplied,Mar/2025,N/A,($0.08),2025-05-15 05:21:09
"TechTarget, Inc.",TTGT,"$624,509,813",($0.04),time-not-supplied,Mar/2025,1,($0.02),2025-05-15 05:21:09
Arbutus Biopharma Corporation,ABUS,"$610,821,800",($0.09),time-not-supplied,Mar/2025,1,($0.10),2025-05-15 05:21:09
"Replimune Group, Inc.",REPL,"$570,679,527",($0.75),time-not-supplied,Mar/2025,6,($0.82),2025-05-15 05:21:09
Gambling.com Group Limited,GAMB,"$506,843,067",$0.19,time-pre-market,Mar/2025,2,$0.20,2025-05-15 05:21:09
"PlayAGS, Inc.",AGS,"$505,121,838",$0.13,time-not-supplied,Mar/2025,2,$0.10,2025-05-15 05:21:09
Permian Basin Royalty Trust,PBT,"$489,858,446",,time-not-supplied,Mar/2025,1,$0.12,2025-05-15 05:21:09
"Taysha Gene Therapies, Inc.",TSHA,"$479,703,819",($0.08),time-pre-market,Mar/2025,3,($0.10),2025-05-15 05:21:09
"KULR Technology Group, Inc.",KULR,"$446,491,730",($0.01),time-after-hours,Mar/2025,2,($0.04),2025-05-15 05:21:09
"ReposiTrak, Inc.",TRAK,"$415,681,221",,time-after-hours,Mar/2025,1,$0.08,2025-05-15 05:21:09
"Bit Digital, Inc.",BTBT,"$408,654,443",($0.05),time-after-hours,Mar/2025,4,$0.03,2025-05-15 05:21:09
"Oruka Therapeutics, Inc.",ORKA,"$360,177,706",($0.57),time-not-supplied,Mar/2025,5,($1.68),2025-05-15 05:21:09
Venu Holding Corporation,VENU,"$290,969,340",,time-after-hours,Mar/2025,1,N/A,2025-05-15 05:21:09
Park Aerospace Corp.,PKE,"$270,983,305",,time-after-hours,Feb/2025,1,$0.11,2025-05-15 05:21:09
Quantum-Si Incorporated,QSI,"$267,383,823",($0.17),time-after-hours,Mar/2025,1,($0.14),2025-05-15 05:21:09
"Aura Biosciences, Inc.",AURA,"$264,185,141",($0.47),time-not-supplied,Mar/2025,3,($0.40),2025-05-15 05:21:09
Omeros Corporation,OMER,"$257,223,081",,time-after-hours,Mar/2025,N/A,($0.74),2025-05-15 05:21:09
Security National Financial Corporation,SNFCA,"$255,778,796",,time-pre-market,Mar/2025,1,$0.31,2025-05-15 05:21:09
"Palvella Therapeutics, Inc.",PVLA,"$254,753,431",($3.39),time-pre-market,Mar/2025,2,($3.95),2025-05-15 05:21:09
"Gossamer Bio, Inc.",GOSS,"$247,671,174",($0.19),time-after-hours,Mar/2025,4,($0.19),2025-05-15 05:21:09
T1 Energy Inc.,TE,"$237,025,900",,time-pre-market,Mar/2025,1,($0.21),2025-05-15 05:21:09
"TSS, Inc.",TSSI,"$227,010,617",,time-after-hours,Mar/2025,1,N/A,2025-05-15 05:21:09
"Fold Holdings, Inc.",FLD,"$196,933,279",($0.10),time-after-hours,Mar/2025,1,N/A,2025-05-15 05:21:09
"Eledon Pharmaceuticals, Inc.",ELDN,"$173,657,148",($0.28),time-not-supplied,Mar/2025,1,($0.34),2025-05-15 05:21:09
SWK Holdings Corporation,SWKH,"$167,250,938",,time-after-hours,Mar/2025,1,$0.12,2025-05-15 05:21:09
