Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
NVIDIA Corporation,NVDA,"$3,190,557,200,000",$0.79,time-after-hours,Jan/2025,14,$0.49,2025-02-26 05:18:27
"Salesforce, Inc.",CRM,"$295,062,240,000",$1.95,time-after-hours,Jan/2025,16,$1.78,2025-02-26 05:18:27
"TJX Companies, Inc. (The)",TJX,"$136,551,475,782",$1.15,time-pre-market,Jan/2025,8,$1.12,2025-02-26 05:18:27
"Lowe's Companies, Inc.",LOW,"$133,867,223,185",$1.83,time-pre-market,Jan/2025,14,$1.77,2025-02-26 05:18:27
Anheuser-Busch Inbev SA,BUD,"$94,694,622,806",$0.72,time-pre-market,Dec/2024,5,$0.82,2025-02-26 05:18:27
"Synopsys, Inc.",SNPS,"$72,664,237,305",$1.86,time-after-hours,Jan/2025,6,$2.90,2025-02-26 05:18:27
CRH PLC,CRH,"$68,016,166,672",$1.49,time-after-hours,Dec/2024,1,$1.29,2025-02-26 05:18:27
Snowflake Inc.,SNOW,"$56,420,692,000",($0.60),time-after-hours,Jan/2025,13,($0.44),2025-02-26 05:18:27
ENI S.p.A.,E,"$49,457,490,147",$0.84,time-not-supplied,Dec/2024,2,$1.06,2025-02-26 05:18:27
Stellantis N.V.,STLA,"$42,232,693,574",,time-pre-market,Dec/2024,8,N/A,2025-02-26 05:18:27
"Verisk Analytics, Inc.",VRSK,"$41,940,970,404",$1.60,time-pre-market,Dec/2024,7,$1.40,2025-02-26 05:18:27
Crown Castle Inc.,CCI,"$40,226,410,132",$1.74,time-not-supplied,Dec/2024,6,$1.82,2025-02-26 05:18:27
"Agilent Technologies, Inc.",A,"$38,635,332,454",$1.27,time-after-hours,Jan/2025,6,$1.29,2025-02-26 05:18:27
eBay Inc.,EBAY,"$33,525,210,000",$0.95,time-after-hours,Dec/2024,9,$0.79,2025-02-26 05:18:27
Heico Corporation,HEI,"$31,871,222,613",$0.93,time-after-hours,Jan/2025,8,$0.82,2025-02-26 05:18:27
"TKO Group Holdings, Inc.",TKO,"$27,452,437,329",$0.23,time-after-hours,Dec/2024,6,($0.09),2025-02-26 05:18:27
Heico Corporation,HEI.A,"$25,725,214,750",,time-after-hours,Jan/2025,8,$0.82,2025-02-26 05:18:27
FirstEnergy Corp.,FE,"$24,712,473,131",$0.70,time-after-hours,Dec/2024,6,$0.62,2025-02-26 05:18:27
Expand Energy Corporation,EXE,"$24,004,514,784",$0.53,time-after-hours,Dec/2024,8,$1.31,2025-02-26 05:18:27
"NRG Energy, Inc.",NRG,"$20,951,439,959",$0.95,time-pre-market,Dec/2024,1,$1.14,2025-02-26 05:18:27
"Pure Storage, Inc. ",PSTG,"$20,836,755,401",$0.12,time-after-hours,Jan/2025,9,$0.27,2025-02-26 05:18:27
AerCap Holdings N.V.,AER,"$20,569,256,005",$2.56,time-pre-market,Dec/2024,4,$3.11,2025-02-26 05:18:27
Invitation Homes Inc.,INVH,"$19,468,602,090",$0.46,time-after-hours,Dec/2024,6,$0.45,2025-02-26 05:18:27
"Nutanix, Inc.",NTNX,"$18,334,329,873",$0.17,time-after-hours,Jan/2025,11,$0.17,2025-02-26 05:18:27
"EMCOR Group, Inc.",EME,"$18,006,585,954",$5.54,time-pre-market,Dec/2024,2,$4.47,2025-02-26 05:18:27
"Sun Communities, Inc.",SUI,"$17,102,148,714",$1.39,time-after-hours,Dec/2024,3,$1.34,2025-02-26 05:18:27
United Therapeutics Corporation,UTHR,"$15,992,113,150",$6.10,time-pre-market,Dec/2024,8,$4.36,2025-02-26 05:18:27
"Western Midstream Partners, LP",WES,"$15,412,494,793",$0.84,time-after-hours,Dec/2024,6,$0.74,2025-02-26 05:18:27
