Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Woodside Energy Group Limited,WDS,"$26,145,784,347",,time-not-supplied,Mar/2025,1,N/A,2025-05-26 05:21:49
Hesai Group,HSAI,"$2,865,275,572",,time-after-hours,Mar/2025,N/A,($0.08),2025-05-26 05:21:49
Lufax Holding Ltd,LU,"$2,513,256,000",,time-not-supplied,Mar/2025,N/A,($0.21),2025-05-26 05:21:49
JOYY Inc.,JOYY,"$2,262,837,150",$1.13,time-after-hours,Mar/2025,1,$0.94,2025-05-26 05:21:49
"PACS Group, Inc.",PACS,"$1,493,517,383",$0.42,time-not-supplied,Mar/2025,1,$0.38,2025-05-26 05:21:49
EHang Holdings Limited,EH,"$1,248,217,438",,time-pre-market,Mar/2025,N/A,($0.14),2025-05-26 05:21:49
BitFuFu Inc.,FUFU,"$616,543,005",$0.04,time-not-supplied,Mar/2025,2,$0.23,2025-05-26 05:21:49
Lifezone Metals Limited,LZM,"$253,043,510",($0.12),time-not-supplied,Mar/2025,1,($0.05),2025-05-26 05:21:49
Prairie Operating Co.,PROP,"$152,527,346",$0.81,time-not-supplied,Mar/2025,2,($0.80),2025-05-26 05:21:49
Allied Gaming & Entertainment Inc.,AGAE,"$85,124,607",,time-not-supplied,Mar/2025,1,($0.04),2025-05-26 05:21:49
Northann Corp.,NCL,"$31,787,070",,time-not-supplied,Mar/2025,1,N/A,2025-05-26 05:21:49
"FlexShopper, Inc.",FPAY,"$27,470,706",$0.07,time-not-supplied,Mar/2025,1,($0.03),2025-05-26 05:21:49
Sol-Gel Technologies Ltd.,SLGL,"$21,408,581",,time-not-supplied,Mar/2025,N/A,($2.30),2025-05-26 05:21:49
"Greenwave Technology Solutions, Inc.",GWAV,"$11,308,129",,time-not-supplied,Mar/2025,1,($58.21),2025-05-26 05:21:49
XTL Biopharmaceuticals Ltd.,XTLB,"$9,518,960",,time-not-supplied,Mar/2025,1,$0.10,2025-05-26 05:21:49
"Xcel Brands, Inc",XELB,"$5,694,641",($1.12),time-not-supplied,Mar/2025,1,($0.90),2025-05-26 05:21:49
Baosheng Media Group Holdings Limited,BAOS,"$3,652,079",,time-not-supplied,Mar/2025,1,N/A,2025-05-26 05:21:49
"Onconetix, Inc. ",ONCO,"$699,246",,time-not-supplied,Mar/2025,1,($6.40),2025-05-26 05:21:49
"K Wave Media, Ltd.",KWM,,,time-not-supplied,Mar/2025,1,($0.03),2025-05-26 05:21:49
