Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Accenture plc,ACN,"$211,767,356,840",$3.30,time-pre-market,May/2025,8,$3.13,2025-06-20 05:21:32
Kroger Company (The),KR,"$43,585,924,676",$1.45,time-pre-market,Apr/2025,8,$1.43,2025-06-20 05:21:32
Coca-Cola Europacific Partners plc,CCEP,"$42,246,012,617",,time-not-supplied,Mar/2025,8,N/A,2025-06-20 05:21:32
"Darden Restaurants, Inc.",DRI,"$26,305,159,576",$2.96,time-pre-market,May/2025,10,$2.65,2025-06-20 05:21:32
CarMax Inc,KMX,"$9,837,444,617",$1.18,time-pre-market,May/2025,9,$0.97,2025-06-20 05:21:32
KT Corporation,KT,"$9,710,401,367",,time-not-supplied,Mar/2025,N/A,$0.57,2025-06-20 05:21:32
Sibanye Stillwater Limited,SBSW,"$4,826,117,185",,time-not-supplied,Mar/2025,8,N/A,2025-06-20 05:21:32
Gencor Industries Inc.,GENC,"$209,311,985",,time-not-supplied,Mar/2025,8,$0.42,2025-06-20 05:21:32
"Vroom, Inc.",VRM,"$156,240,671",,time-not-supplied,Mar/2025,8,($99.99),2025-06-20 05:21:32
ALT5 Sigma Corporation,ALTS,"$144,000,945",,time-not-supplied,Mar/2025,8,($0.34),2025-06-20 05:21:32
FST Corp.,KBSX,"$63,041,466",,time-not-supplied,Mar/2025,8,($0.10),2025-06-20 05:21:32
Crown LNG Holdings Limited,CGBS,"$51,205,331",,time-not-supplied,Mar/2025,8,($0.26),2025-06-20 05:21:32
Toro Corp.,TORO,"$44,966,024",,time-not-supplied,Mar/2025,8,$0.51,2025-06-20 05:21:32
180 Degree Capital Corp.,TURN,"$39,500,557",,time-not-supplied,Mar/2025,8,N/A,2025-06-20 05:21:32
"Grace Therapeutics, Inc.",GRCE,"$38,371,862",($0.20),time-not-supplied,Mar/2025,1,($0.18),2025-06-20 05:21:32
"Modular Medical, Inc.",MODD,"$31,922,198",,time-not-supplied,Mar/2025,8,($0.14),2025-06-20 05:21:32
MicroCloud Hologram Inc.,HOLO,"$22,049,033",,time-not-supplied,Mar/2025,8,N/A,2025-06-20 05:21:32
ParaZero Technologies Ltd.,PRZO,"$18,347,594",,time-not-supplied,Mar/2025,8,N/A,2025-06-20 05:21:32
Wetouch Technology Inc.,WETH,"$10,770,596",,time-not-supplied,Mar/2025,8,$0.04,2025-06-20 05:21:32
ZOOZ Power Ltd.,ZOOZ,"$10,652,836",,time-not-supplied,Mar/2025,8,N/A,2025-06-20 05:21:32
CIMG Inc.,IMG,"$1,731,789",,time-not-supplied,Mar/2025,8,($1.28),2025-06-20 05:21:32
