Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Johnson & Johnson,JNJ,"$365,307,680,829",$2.57,time-pre-market,Mar/2025,7,$2.71,2025-04-15 05:20:04
Bank of America Corporation,BAC,"$273,388,148,000",$0.81,time-pre-market,Mar/2025,9,$0.83,2025-04-15 05:20:04
Citigroup Inc.,C,"$116,159,319,524",$1.84,time-pre-market,Mar/2025,7,$1.58,2025-04-15 05:20:04
"PNC Financial Services Group, Inc. (The)",PNC,"$60,149,979,120",$3.40,time-pre-market,Mar/2025,9,$3.36,2025-04-15 05:20:04
"America Movil, S.A.B. de C.V.",AMX,"$44,308,275,000",$0.32,time-not-supplied,Mar/2025,1,$0.25,2025-04-15 05:20:04
Ericsson,ERIC,"$24,408,755,148",$0.09,time-pre-market,Mar/2025,4,$0.07,2025-04-15 05:20:04
"United Airlines Holdings, Inc.",UAL,"$21,473,475,398",$0.80,time-after-hours,Mar/2025,9,($0.15),2025-04-15 05:20:04
"Interactive Brokers Group, Inc.",IBKR,"$18,665,449,194",$1.91,time-after-hours,Mar/2025,4,$1.64,2025-04-15 05:20:04
Omnicom Group Inc.,OMC,"$14,854,694,047",$1.63,time-after-hours,Mar/2025,3,$1.67,2025-04-15 05:20:04
"J.B. Hunt Transport Services, Inc.",JBHT,"$13,289,090,812",$1.15,time-after-hours,Mar/2025,9,$1.22,2025-04-15 05:20:04
"Albertsons Companies, Inc.",ACI,"$12,277,047,939",$0.38,time-pre-market,Feb/2025,6,$0.51,2025-04-15 05:20:04
Hancock Whitney Corporation,HWC,"$4,014,378,118",$1.28,time-after-hours,Mar/2025,5,$1.28,2025-04-15 05:20:04
Fulton Financial Corporation,FULT,"$2,767,610,557",$0.44,time-after-hours,Mar/2025,4,$0.40,2025-04-15 05:20:04
Nicolet Bankshares Inc.,NIC,"$1,558,994,150",$1.96,time-not-supplied,Mar/2025,1,$1.72,2025-04-15 05:20:04
Bank First Corporation,BFC,"$990,768,564",$1.62,time-not-supplied,Mar/2025,1,$1.51,2025-04-15 05:20:04
"Equity Bancshares, Inc.",EQBK,"$618,058,522",$0.82,time-after-hours,Mar/2025,3,$1.03,2025-04-15 05:20:04
AmeriServ Financial Inc.,ASRV,"$35,351,231",,time-not-supplied,Mar/2025,6,$0.11,2025-04-15 05:20:04
Lexaria Bioscience Corp.,LEXX,"$23,696,002",($0.16),time-not-supplied,Feb/2025,2,($0.06),2025-04-15 05:20:04
"Rent the Runway, Inc.",RENT,"$20,420,451",,time-pre-market,Jan/2025,N/A,($5.83),2025-04-15 05:20:04
