Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Haleon plc,HLN,"$48,304,495,684",,time-not-supplied,Mar/2025,N/A,$0.12,2025-06-18 05:21:21
Korn Ferry ,KFY,"$3,492,294,338",$1.25,time-pre-market,Apr/2025,2,$1.26,2025-06-18 05:21:21
HUTCHMED (China) Limited,HCM,"$2,926,870,057",,time-not-supplied,Mar/2025,2,N/A,2025-06-18 05:21:21
GMS Inc.,GMS,"$2,922,944,399",$1.15,time-pre-market,Apr/2025,3,$1.93,2025-06-18 05:21:21
Lotus Technology Inc.,LOT,"$1,505,702,430",,time-not-supplied,Mar/2025,2,($0.47),2025-06-18 05:21:21
Nordic American Tankers Limited,NAT,"$586,549,337",$0,time-not-supplied,Mar/2025,2,$0.07,2025-06-18 05:21:21
Compass Diversified ,CODI,"$470,977,147",$0.49,time-not-supplied,Mar/2025,1,$0.40,2025-06-18 05:21:21
"Smith & Wesson Brands, Inc.",SWBI,"$470,388,895",,time-after-hours,Apr/2025,N/A,$0.45,2025-06-18 05:21:21
Gorilla Technology Group Inc.,GRRR,"$405,051,507",$0.01,time-after-hours,Mar/2025,2,N/A,2025-06-18 05:21:21
Brasilagro Cia Brasileira De Propriedades Agricolas ,LND,"$398,411,763",,time-not-supplied,Mar/2025,2,($0.06),2025-06-18 05:21:21
Aurora Cannabis Inc.,ACB,"$337,536,920",$0.11,time-pre-market,Mar/2025,2,$0.11,2025-06-18 05:21:21
Euroseas Ltd.,ESEA,"$311,934,366",$3.35,time-pre-market,Mar/2025,1,$2.66,2025-06-18 05:21:21
Triller Group Inc.,ILLR,"$104,298,429",,time-not-supplied,Mar/2025,2,($0.23),2025-06-18 05:21:21
"B. Riley Financial, Inc.",RILY,"$89,661,374",,time-not-supplied,Mar/2025,2,($1.71),2025-06-18 05:21:21
"LiveOne, Inc.",LVO,"$83,023,837",($0.05),time-pre-market,Mar/2025,2,($0.03),2025-06-18 05:21:21
Mega Matrix Inc.,MPU,"$31,226,978",,time-not-supplied,Mar/2025,2,($0.05),2025-06-18 05:21:21
"SPAR Group, Inc.",SGRP,"$25,091,180",$0.03,time-not-supplied,Mar/2025,1,$0.06,2025-06-18 05:21:21
BTC Digital Ltd.,BTCT,"$20,395,907",,time-not-supplied,Mar/2025,N/A,($0.30),2025-06-18 05:21:21
Real Messenger Corporation,RMSG,"$19,667,939",,time-not-supplied,Mar/2025,2,($0.01),2025-06-18 05:21:21
Movano Inc.,MOVE,"$4,586,686",,time-not-supplied,Mar/2025,2,($1.50),2025-06-18 05:21:21
Locafy Limited,LCFY,"$4,049,802",,time-not-supplied,Mar/2025,2,($0.34),2025-06-18 05:21:21
"Splash Beverage Group, Inc.",SBEV,"$3,606,316",,time-not-supplied,Mar/2025,N/A,$4,2025-06-18 05:21:21
PainReform Ltd.,PRFX,"$3,343,992",,time-not-supplied,Mar/2025,2,($65.27),2025-06-18 05:21:21
Wearable Devices Ltd.,WLDS,"$1,584,629",,time-not-supplied,Mar/2025,2,N/A,2025-06-18 05:21:21
