Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Palantir Technologies Inc.,PLTR,"$272,530,425,997",$0.08,time-after-hours,Mar/2025,8,$0.04,2025-05-05 05:21:25
Vertex Pharmaceuticals Incorporated,VRTX,"$128,102,194,049",$3.69,time-after-hours,Mar/2025,8,$4.29,2025-05-05 05:21:25
"Williams Companies, Inc. (The)",WMB,"$71,698,914,546",$0.55,time-after-hours,Mar/2025,5,$0.59,2025-05-05 05:21:25
CRH PLC,CRH,"$65,251,061,451",($0.08),time-after-hours,Mar/2025,2,($0.02),2025-05-05 05:21:25
Realty Income Corporation,O,"$50,967,978,924",$1.06,time-after-hours,Mar/2025,8,$1.03,2025-05-05 05:21:25
Ares Management Corporation,ARES,"$48,027,420,706",$0.94,time-pre-market,Mar/2025,7,$0.80,2025-05-05 05:21:25
Cummins Inc.,CMI,"$40,540,445,640",$4.82,time-pre-market,Mar/2025,8,$5.10,2025-05-05 05:21:25
Ford Motor Company,F,"$40,347,897,627",$0,time-after-hours,Mar/2025,6,$0.49,2025-05-05 05:21:25
"Diamondback Energy, Inc.",FANG,"$39,025,316,277",$4.09,time-after-hours,Mar/2025,9,$4.50,2025-05-05 05:21:25
BioNTech SE,BNTX,"$24,580,209,454",($2.77),time-pre-market,Mar/2025,8,($1.42),2025-05-05 05:21:25
"Tyson Foods, Inc.",TSN,"$21,588,940,948",$0.85,time-pre-market,Mar/2025,3,$0.62,2025-05-05 05:21:25
"Zimmer Biomet Holdings, Inc.",ZBH,"$20,268,611,358",$1.77,time-pre-market,Mar/2025,11,$1.94,2025-05-05 05:21:25
Coterra Energy Inc.,CTRA,"$19,019,730,263",$0.76,time-after-hours,Mar/2025,7,$0.50,2025-05-05 05:21:25
Loews Corporation,L,"$18,372,058,803",,time-pre-market,Mar/2025,8,$2.05,2025-05-05 05:21:25
Clorox Company (The),CLX,"$17,066,724,174",$1.57,time-after-hours,Mar/2025,8,$1.71,2025-05-05 05:21:25
ON Semiconductor Corporation,ON,"$16,688,276,629",$0.51,time-pre-market,Mar/2025,14,$1.08,2025-05-05 05:21:25
Corebridge Financial Inc.,CRBG,"$16,652,078,912",$1.15,time-after-hours,Mar/2025,8,$1.10,2025-05-05 05:21:25
"Sun Communities, Inc.",SUI,"$16,607,564,501",$1.18,time-after-hours,Mar/2025,2,$1.19,2025-05-05 05:21:25
AECOM,ACM,"$13,302,137,413",$1.15,time-after-hours,Mar/2025,1,$1.04,2025-05-05 05:21:25
CNA Financial Corporation,CNA,"$12,849,677,103",$1.15,time-pre-market,Mar/2025,2,$1.30,2025-05-05 05:21:25
"Neurocrine Biosciences, Inc.",NBIX,"$10,627,398,943",$0.46,time-after-hours,Mar/2025,11,$0.42,2025-05-05 05:21:25
"BWX Technologies, Inc.",BWXT,"$10,165,669,633",$0.73,time-after-hours,Mar/2025,5,$0.76,2025-05-05 05:21:25
"BellRing Brands, Inc.",BRBR,"$9,873,953,209",$0.52,time-after-hours,Mar/2025,7,$0.45,2025-05-05 05:21:25
"Viper Energy, Inc. ",VNOM,"$9,098,895,916",$0.45,time-after-hours,Mar/2025,8,$0.52,2025-05-05 05:21:25
"Hims & Hers Health, Inc.",HIMS,"$8,033,507,084",$0.12,time-after-hours,Mar/2025,7,$0.05,2025-05-05 05:21:25
"Henry Schein, Inc.",HSIC,"$8,004,435,303",$1.11,time-pre-market,Mar/2025,10,$1.10,2025-05-05 05:21:25
TIM S.A.,TIMB,"$8,003,179,346",$0.25,time-not-supplied,Mar/2025,1,$0.21,2025-05-05 05:21:25
Fabrinet,FN,"$7,585,174,419",$2.24,time-after-hours,Mar/2025,2,$2.21,2025-05-05 05:21:25
Corcept Therapeutics Incorporated,CORT,"$7,541,385,319",$0.17,time-after-hours,Mar/2025,4,$0.25,2025-05-05 05:21:25
Bright Horizons Family Solutions Inc.,BFAM,"$7,154,939,319",$0.52,time-after-hours,Mar/2025,3,$0.41,2025-05-05 05:21:25
"TG Therapeutics, Inc.",TGTX,"$7,126,291,988",$0.19,time-pre-market,Mar/2025,6,($0.07),2025-05-05 05:21:25
Regal Rexnord Corporation,RRX,"$7,111,920,932",$1.82,time-after-hours,Mar/2025,4,$2,2025-05-05 05:21:25
Vornado Realty Trust,VNO,"$6,870,476,880",$0.52,time-after-hours,Mar/2025,11,$0.55,2025-05-05 05:21:25
Lattice Semiconductor Corporation,LSCC,"$6,749,564,727",$0.11,time-after-hours,Mar/2025,5,$0.19,2025-05-05 05:21:25
"Axsome Therapeutics, Inc.",AXSM,"$5,473,428,833",($1.26),time-pre-market,Mar/2025,10,($1.09),2025-05-05 05:21:25
JBT Marel Corporation,JBTM,"$5,472,852,214",$0.82,time-pre-market,Mar/2025,4,$0.85,2025-05-05 05:21:25
"Mattel, Inc.",MAT,"$5,240,274,000",($0.10),time-after-hours,Mar/2025,6,($0.05),2025-05-05 05:21:25
Air Lease Corporation,AL,"$5,229,144,704",$1.20,time-after-hours,Mar/2025,2,$1.24,2025-05-05 05:21:25
Celanese Corporation,CE,"$4,963,687,600",$0.37,time-after-hours,Mar/2025,8,$2.08,2025-05-05 05:21:25
NewJersey Resources Corporation,NJR,"$4,905,155,630",$1.65,time-after-hours,Mar/2025,2,$1.40,2025-05-05 05:21:25
"Sterling Infrastructure, Inc.",STRL,"$4,895,270,276",$1.46,time-after-hours,Mar/2025,2,$1,2025-05-05 05:21:25
"Affiliated Managers Group, Inc.",AMG,"$4,883,580,777",$5.10,time-not-supplied,Mar/2025,6,$5.37,2025-05-05 05:21:25
"Inspire Medical Systems, Inc.",INSP,"$4,684,799,365",($0.23),time-after-hours,Mar/2025,9,($0.34),2025-05-05 05:21:25
"ONE Gas, Inc.",OGS,"$4,662,664,974",$1.85,time-after-hours,Mar/2025,5,$1.75,2025-05-05 05:21:25
"Sabra Health Care REIT, Inc.",SBRA,"$4,191,991,344",$0.36,time-after-hours,Mar/2025,4,$0.35,2025-05-05 05:21:25
Cabot Corporation,CBT,"$4,186,983,612",$1.86,time-after-hours,Mar/2025,3,$1.78,2025-05-05 05:21:25
"Paymentus Holdings, Inc.",PAY,"$4,180,202,012",$0.10,time-after-hours,Mar/2025,2,$0.08,2025-05-05 05:21:25
"Archrock, Inc.",AROC,"$4,176,653,359",$0.39,time-after-hours,Mar/2025,3,$0.26,2025-05-05 05:21:25
Mueller Water Products Inc,MWA,"$4,159,283,889",$0.32,time-after-hours,Mar/2025,3,$0.30,2025-05-05 05:21:25
"Palomar Holdings, Inc.",PLMR,"$3,843,178,225",$1.45,time-after-hours,Mar/2025,6,$1.09,2025-05-05 05:21:25
Transportadora De Gas Sa Ord B,TGS,"$3,827,037,229",$0.49,time-not-supplied,Mar/2025,1,$0.45,2025-05-05 05:21:25
Kilroy Realty Corporation,KRC,"$3,775,648,165",$1.02,time-after-hours,Mar/2025,4,$1.11,2025-05-05 05:21:25
"Golub Capital BDC, Inc.",GBDC,"$3,732,910,274",$0.41,time-after-hours,Mar/2025,3,$0.51,2025-05-05 05:21:25
"Matson, Inc.",MATX,"$3,620,595,371",$2.34,time-after-hours,Mar/2025,2,$1.04,2025-05-05 05:21:25
"Freshpet, Inc.",FRPT,"$3,542,818,046",$0.13,time-pre-market,Mar/2025,6,$0.21,2025-05-05 05:21:25
"Dorman Products, Inc.",DORM,"$3,516,879,630",$1.48,time-after-hours,Mar/2025,3,$1.31,2025-05-05 05:21:25
"Boise Cascade, L.L.C.",BCC,"$3,516,767,410",$1.36,time-after-hours,Mar/2025,3,$2.61,2025-05-05 05:21:25
"Interparfums, Inc.",IPAR,"$3,502,794,418",$1.13,time-after-hours,Mar/2025,4,$1.27,2025-05-05 05:21:25
