Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,"$815,978,545,771",$2.03,time-pre-market,Mar/2025,4,$1.38,2025-04-17 05:20:05
UnitedHealth Group Incorporated,UNH,"$533,816,970,415",$7.27,time-pre-market,Mar/2025,12,$6.91,2025-04-17 05:20:05
"Netflix, Inc.",NFLX,"$417,610,701,588",$5.74,time-after-hours,Mar/2025,10,$5.28,2025-04-17 05:20:05
American Express Company,AXP,"$181,154,930,142",$3.46,time-pre-market,Mar/2025,13,$3.33,2025-04-17 05:20:05
The Charles Schwab Corporation,SCHW,"$139,989,288,061",$1,time-pre-market,Mar/2025,10,$0.74,2025-04-17 05:20:05
"Marsh & McLennan Companies, Inc.",MMC,"$114,119,228,437",$3.02,time-pre-market,Mar/2025,11,$2.89,2025-04-17 05:20:05
Blackstone Inc.,BX,"$97,406,202,625",$1.09,time-pre-market,Mar/2025,8,$0.98,2025-04-17 05:20:05
Infosys Limited,INFY,"$70,706,776,874",$0.19,time-pre-market,Mar/2025,4,$0.23,2025-04-17 05:20:05
Truist Financial Corporation,TFC,"$47,632,247,262",$0.86,time-pre-market,Mar/2025,8,$0.90,2025-04-17 05:20:05
"D.R. Horton, Inc.",DHI,"$37,754,825,048",$2.67,time-pre-market,Mar/2025,15,$3.52,2025-04-17 05:20:05
State Street Corporation,STT,"$23,481,384,414",$1.98,time-pre-market,Mar/2025,7,$1.69,2025-04-17 05:20:05
Fifth Third Bancorp,FITB,"$23,343,234,342",$0.70,time-pre-market,Mar/2025,10,$0.76,2025-04-17 05:20:05
Huntington Bancshares Incorporated,HBAN,"$19,480,360,778",$0.31,time-pre-market,Mar/2025,8,$0.28,2025-04-17 05:20:05
Snap-On Incorporated,SNA,"$17,660,187,721",$4.81,time-pre-market,Mar/2025,7,$4.75,2025-04-17 05:20:05
Regions Financial Corporation,RF,"$17,593,186,330",$0.51,time-pre-market,Mar/2025,9,$0.44,2025-04-17 05:20:05
KeyCorp,KEY,"$15,747,950,282",$0.32,time-pre-market,Mar/2025,9,$0.22,2025-04-17 05:20:05
"PT Telekomunikasi Indonesia, Tbk",TLK,"$14,542,333,397",,time-not-supplied,Mar/2025,N/A,$0.37,2025-04-17 05:20:05
Rentokil Initial plc,RTO,"$11,174,488,032",,time-pre-market,Mar/2025,10,N/A,2025-04-17 05:20:05
Ally Financial Inc.,ALLY,"$9,928,966,297",$0.45,time-pre-market,Mar/2025,10,$0.45,2025-04-17 05:20:05
"Badger Meter, Inc.",BMI,"$5,464,838,028",$1.08,time-pre-market,Mar/2025,3,$0.99,2025-04-17 05:20:05
"First Financial Bankshares, Inc.",FFIN,"$4,648,195,469",$0.43,time-not-supplied,Mar/2025,1,$0.37,2025-04-17 05:20:05
BancFirst Corporation,BANF,"$3,522,189,412",$1.58,time-not-supplied,Mar/2025,2,$1.50,2025-04-17 05:20:05
"Texas Capital Bancshares, Inc.",TCBI,"$2,954,493,253",$0.99,time-pre-market,Mar/2025,6,$0.62,2025-04-17 05:20:05
"Banco Latinoamericano de Comercio Exterior, S.A.",BLX,"$2,766,067,478",,time-not-supplied,Mar/2025,N/A,$1.40,2025-04-17 05:20:05
Independent Bank Corp.,INDB,"$2,353,516,551",$1.18,time-after-hours,Mar/2025,3,$1.12,2025-04-17 05:20:05
ManpowerGroup,MAN,"$2,350,485,499",$0.52,time-pre-market,Mar/2025,5,$0.94,2025-04-17 05:20:05
Hilltop Holdings Inc.,HTH,"$1,865,496,549",$0.28,time-not-supplied,Mar/2025,3,$0.42,2025-04-17 05:20:05
Westamerica Bancorporation,WABC,"$1,201,879,125",$1.09,time-not-supplied,Mar/2025,1,$1.37,2025-04-17 05:20:05
"Marten Transport, Ltd.",MRTN,"$1,081,841,097",$0.05,time-not-supplied,Mar/2025,1,$0.12,2025-04-17 05:20:05
Forestar Group Inc,FOR,"$974,994,638",$0.71,time-pre-market,Mar/2025,1,$0.89,2025-04-17 05:20:05
"Five Point Holdings, LLC",FPH,"$731,662,479",,time-not-supplied,Mar/2025,10,$0.03,2025-04-17 05:20:05
"Cass Information Systems, Inc",CASS,"$539,319,725",$0.60,time-not-supplied,Mar/2025,1,$0.52,2025-04-17 05:20:05
"Insteel Industries, Inc.",IIIN,"$521,906,776",$0.33,time-pre-market,Mar/2025,1,$0.35,2025-04-17 05:20:05
"Bar Harbor Bankshares, Inc.",BHB,"$429,801,249",$0.69,time-not-supplied,Mar/2025,1,$0.66,2025-04-17 05:20:05
Community West Bancshares,CWBC,"$304,620,885",$0.47,time-not-supplied,Mar/2025,4,$0.31,2025-04-17 05:20:05
