Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Oracle Corporation,ORCL,"$496,770,053,100",$1.30,time-after-hours,May/2025,11,$1.35,2025-06-11 05:21:49
Haleon plc,HLN,"$49,554,014,291",,time-not-supplied,Mar/2025,N/A,$0.12,2025-06-11 05:21:49
"Chewy, Inc.",CHWY,"$19,238,313,891",$0.16,time-pre-market,Apr/2025,9,$0.15,2025-06-11 05:21:49
"SailPoint, Inc.",SAIL,"$10,675,110,284",($0.01),time-pre-market,Apr/2025,2,N/A,2025-06-11 05:21:49
ReNew Energy Global plc,RNW,"$3,395,308,847",$0.06,time-not-supplied,Mar/2025,2,$0.02,2025-06-11 05:21:49
Victorias Secret & Co.,VSCO,"$1,792,348,742",$0.09,time-pre-market,Apr/2025,3,$0.12,2025-06-11 05:21:49
Lotus Technology Inc.,LOT,"$1,492,137,544",,time-not-supplied,Mar/2025,2,($0.47),2025-06-11 05:21:49
"Oxford Industries, Inc.",OXM,"$818,026,783",$1.82,time-after-hours,Apr/2025,3,$2.66,2025-06-11 05:21:49
Cognyte Software Ltd.,CGNT,"$805,909,339",,time-pre-market,Apr/2025,2,($0.07),2025-06-11 05:21:49
Nordic American Tankers Limited,NAT,"$573,844,297",$0,time-not-supplied,Mar/2025,2,$0.07,2025-06-11 05:21:49
Dada Nexus Limited,DADA,"$513,909,844",,time-not-supplied,Mar/2025,2,($0.11),2025-06-11 05:21:49
Compass Diversified ,CODI,"$493,547,937",$0.48,time-not-supplied,Mar/2025,2,$0.40,2025-06-11 05:21:49
"Nathan's Famous, Inc.",NATH,"$449,396,254",,time-not-supplied,Mar/2025,2,$0.96,2025-06-11 05:21:49
Brasilagro Cia Brasileira De Propriedades Agricolas ,LND,"$398,411,763",,time-not-supplied,Mar/2025,2,($0.06),2025-06-11 05:21:49
"J. Jill, Inc.",JILL,"$261,510,163",$0.88,time-pre-market,Apr/2025,4,$1.22,2025-06-11 05:21:49
Zeo Energy Corporation,ZEO,"$154,817,213",,time-not-supplied,Mar/2025,2,($1.20),2025-06-11 05:21:49
Triller Group Inc.,ILLR,"$121,210,849",,time-not-supplied,Mar/2025,2,($0.23),2025-06-11 05:21:49
"B. Riley Financial, Inc.",RILY,"$96,065,758",,time-not-supplied,Mar/2025,2,($1.71),2025-06-11 05:21:49
"Vera Bradley, Inc.",VRA,"$71,468,322",($0.13),time-pre-market,Apr/2025,2,($0.21),2025-06-11 05:21:49
Mega Matrix Inc.,MPU,"$33,998,854",,time-not-supplied,Mar/2025,2,($0.05),2025-06-11 05:21:49
"SPAR Group, Inc.",SGRP,"$25,091,180",$0.03,time-not-supplied,Mar/2025,1,$0.06,2025-06-11 05:21:49
BTC Digital Ltd.,BTCT,"$22,004,417",,time-not-supplied,Mar/2025,N/A,($0.30),2025-06-11 05:21:49
Real Messenger Corporation,RMSG,"$16,219,059",,time-not-supplied,Mar/2025,2,($0.01),2025-06-11 05:21:49
"Splash Beverage Group, Inc.",SBEV,"$5,742,245",,time-not-supplied,Mar/2025,N/A,$4,2025-06-11 05:21:49
Locafy Limited,LCFY,"$5,445,809",,time-not-supplied,Mar/2025,2,($0.34),2025-06-11 05:21:49
Movano Inc.,MOVE,"$5,270,678",,time-not-supplied,Mar/2025,2,($1.50),2025-06-11 05:21:49
PainReform Ltd.,PRFX,"$3,713,452",,time-not-supplied,Mar/2025,2,($65.27),2025-06-11 05:21:49
