Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Oracle Corporation,ORCL,"$422,172,538,640",$1.18,time-after-hours,Feb/2025,11,$1.12,2025-03-10 05:16:13
Franco-Nevada Corporation,FNV,"$27,453,516,861",$0.89,time-pre-market,Dec/2024,5,$0.90,2025-03-10 05:16:13
BioNTech SE,BNTX,"$26,347,143,210",$0.57,time-pre-market,Dec/2024,8,$2.05,2025-03-10 05:16:13
"StandardAero, Inc.",SARO,"$8,910,057,823",$0.16,time-after-hours,Dec/2024,1,N/A,2025-03-10 05:16:13
"Vail Resorts, Inc.",MTN,"$5,884,934,708",$6.29,time-after-hours,Jan/2025,7,$5.76,2025-03-10 05:16:13
"Asana, Inc.",ASAN,"$4,066,698,514",($0.25),time-after-hours,Jan/2025,6,($0.28),2025-03-10 05:16:13
"Paymentus Holdings, Inc.",PAY,"$3,234,241,297",$0.09,time-after-hours,Dec/2024,2,$0.09,2025-03-10 05:16:13
BBB Foods Inc.,TBBB,"$2,743,308,386",$0.02,time-not-supplied,Dec/2024,1,N/A,2025-03-10 05:16:13
Uranium Energy Corp.,UEC,"$2,149,287,624",$0,time-not-supplied,Jan/2025,1,$0.01,2025-03-10 05:16:13
Hesai Group,HSAI,"$2,083,267,220",,time-after-hours,Dec/2024,N/A,($0.11),2025-03-10 05:16:13
Central Puerto S.A.,CEPU,"$1,819,854,757",,time-not-supplied,Dec/2024,N/A,$2.68,2025-03-10 05:16:13
"Belite Bio, Inc",BLTE,"$1,779,865,051",($0.30),time-not-supplied,Dec/2024,2,($0.25),2025-03-10 05:16:13
Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),EDN,"$1,571,793,143",,time-not-supplied,Dec/2024,N/A,($0.25),2025-03-10 05:16:13
"HighPeak Energy, Inc.",HPK,"$1,490,378,851",$0.13,time-after-hours,Dec/2024,2,$0.66,2025-03-10 05:16:13
NET Power Inc.,NPWR,"$1,395,917,058",,time-pre-market,Dec/2024,1,N/A,2025-03-10 05:16:13
Willis Lease Finance Corporation,WLFC,"$1,200,800,261",,time-pre-market,Dec/2024,1,$1.53,2025-03-10 05:16:13
Quanex Building Products Corporation,NX,"$943,336,945",($0.06),time-after-hours,Jan/2025,1,$0.18,2025-03-10 05:16:13
"Mission Produce, Inc.",AVO,"$828,284,479",($0.01),time-after-hours,Jan/2025,1,$0.08,2025-03-10 05:16:13
"Limbach Holdings, Inc.",LMB,"$823,387,297",$0.78,time-after-hours,Dec/2024,2,$0.44,2025-03-10 05:16:13
Redwire Corporation,RDW,"$822,445,166",($0.18),time-after-hours,Dec/2024,4,($0.25),2025-03-10 05:16:13
Atlanticus Holdings Corporation,ATLC,"$673,271,216",$1.21,time-not-supplied,Dec/2024,3,$1.10,2025-03-10 05:16:13
Yalla Group Limited,YALA,"$637,343,290",,time-after-hours,Dec/2024,1,$0.17,2025-03-10 05:16:13
"KalVista Pharmaceuticals, Inc.",KALV,"$592,027,472",($0.89),time-not-supplied,Jan/2025,5,($0.84),2025-03-10 05:16:13
Auna SA,AUNA,"$586,905,561",$0.15,time-after-hours,Dec/2024,1,N/A,2025-03-10 05:16:13
"Greenlight Reinsurance, Ltd.",GLRE,"$481,733,378",,time-after-hours,Dec/2024,1,$0.50,2025-03-10 05:16:13
"Ramaco Resources, Inc.",METCB,"$476,153,570",,time-not-supplied,Dec/2024,1,N/A,2025-03-10 05:16:13
"TruBridge, Inc.",TBRG,"$434,021,152",$0.50,time-after-hours,Dec/2024,1,$0.29,2025-03-10 05:16:13
UroGen Pharma Ltd.,URGN,"$430,012,029",($0.74),time-pre-market,Dec/2024,3,($0.72),2025-03-10 05:16:13
Genie Energy Ltd.,GNE,"$402,830,623",,time-pre-market,Dec/2024,1,$0.37,2025-03-10 05:16:13
"Astria Therapeutics, Inc.",ATXS,"$362,307,686",($0.45),time-not-supplied,Dec/2024,5,($0.86),2025-03-10 05:16:13
Seaport Entertainment Group Inc.,SEG,"$293,869,495",,time-after-hours,Dec/2024,1,N/A,2025-03-10 05:16:13
"Viemed Healthcare, Inc.",VMD,"$289,640,461",,time-after-hours,Dec/2024,1,$0.09,2025-03-10 05:16:13
"Olema Pharmaceuticals, Inc.",OLMA,"$257,267,324",($0.63),time-not-supplied,Dec/2024,5,($0.49),2025-03-10 05:16:13
Neurogene Inc.,NGNE,"$248,816,644",($1.10),time-not-supplied,Dec/2024,1,N/A,2025-03-10 05:16:13
"Flotek Industries, Inc.",FTK,"$219,893,255",$0.10,time-after-hours,Dec/2024,1,$0.07,2025-03-10 05:16:13
"LifeMD, Inc.",LFMD,"$209,197,525",($0.05),time-after-hours,Dec/2024,2,($0.12),2025-03-10 05:16:13
Telos Corporation,TLS,"$209,179,960",($0.21),time-pre-market,Dec/2024,4,($0.12),2025-03-10 05:16:13
ContextLogic Inc.,LOGC,"$198,057,889",,time-not-supplied,Dec/2024,1,($2.82),2025-03-10 05:16:13
