Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Accenture plc,ACN,"$203,825,308,836",$2.84,time-pre-market,Feb/2025,10,$2.77,2025-03-20 05:19:08
PDD Holdings Inc.,PDD,"$177,350,002,244",$2.31,time-pre-market,Dec/2024,2,$2.23,2025-03-20 05:19:08
"Micron Technology, Inc.",MU,"$114,882,267,909",$1.28,time-after-hours,Feb/2025,6,$0.27,2025-03-20 05:19:08
"Nike, Inc.",NKE,"$109,011,651,572",$0.28,time-after-hours,Feb/2025,14,$0.98,2025-03-20 05:19:08
FedEx Corporation,FDX,"$59,080,652,916",$4.66,time-after-hours,Feb/2025,8,$3.86,2025-03-20 05:19:08
Lennar Corporation,LEN,"$31,586,325,461",$1.74,time-after-hours,Feb/2025,7,$2.57,2025-03-20 05:19:08
Lennar Corporation,LEN.B,"$29,993,202,119",,time-after-hours,Feb/2025,2,$2.57,2025-03-20 05:19:08
"Darden Restaurants, Inc.",DRI,"$21,976,737,054",$2.81,time-pre-market,Feb/2025,13,$2.62,2025-03-20 05:19:08
FactSet Research Systems Inc.,FDS,"$16,719,909,724",$4.19,time-pre-market,Feb/2025,8,$4.22,2025-03-20 05:19:08
Jabil Inc.,JBL,"$15,104,848,934",$1.68,time-pre-market,Feb/2025,2,$1.54,2025-03-20 05:19:08
H World Group Limited,HTHT,"$12,054,920,872",$0.25,time-pre-market,Dec/2024,1,$0.33,2025-03-20 05:19:08
ZEEKR Intelligent Technology Holding Limited,ZK,"$7,447,345,520",,time-pre-market,Dec/2024,2,N/A,2025-03-20 05:19:08
Commercial Metals Company,CMC,"$5,245,692,240",$0.33,time-pre-market,Feb/2025,3,$0.88,2025-03-20 05:19:08
VEON Ltd.,VEON,"$3,310,051,308",,time-pre-market,Dec/2024,2,N/A,2025-03-20 05:19:08
"Academy Sports and Outdoors, Inc.",ASO,"$3,242,232,372",$1.71,time-pre-market,Jan/2025,6,$2.23,2025-03-20 05:19:08
Lufax Holding Ltd,LU,"$2,764,581,600",,time-not-supplied,Dec/2024,N/A,($0.21),2025-03-20 05:19:08
Sable Offshore Corp.,SOC,"$2,259,572,526",($0.22),time-not-supplied,Dec/2024,2,N/A,2025-03-20 05:19:08
"KinderCare Learning Companies, Inc.",KLC,"$1,934,643,860",$0.04,time-after-hours,Dec/2024,2,N/A,2025-03-20 05:19:08
