Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"CrowdStrike Holdings, Inc.",CRWD,"$116,840,091,629",($0.28),time-after-hours,Apr/2025,14,$0.20,2025-06-03 05:21:40
Ferguson Enterprises Inc.,FERG,"$36,723,104,053",$2.01,time-pre-market,Apr/2025,7,$2.32,2025-06-03 05:21:40
Hewlett Packard Enterprise Company,HPE,"$22,698,632,056",$0.28,time-after-hours,Apr/2025,4,$0.24,2025-06-03 05:21:40
Dollar General Corporation,DG,"$21,389,853,336",$1.47,time-pre-market,Apr/2025,23,$1.65,2025-06-03 05:21:40
"Guidewire Software, Inc.",GWRE,"$18,036,030,694",$0.09,time-after-hours,Apr/2025,6,($0.09),2025-06-03 05:21:40
"HealthEquity, Inc.",HQY,"$8,702,407,734",$0.62,time-after-hours,Apr/2025,6,$0.55,2025-06-03 05:21:40
"Donaldson Company, Inc.",DCI,"$8,312,464,729",$0.95,time-pre-market,Apr/2025,7,$0.92,2025-06-03 05:21:40
NIO Inc.,NIO,"$7,950,806,717",($0.22),time-pre-market,Mar/2025,1,($0.36),2025-06-03 05:21:40
"Ollie's Bargain Outlet Holdings, Inc.",OLLI,"$6,826,425,956",$0.70,time-pre-market,Apr/2025,7,$0.73,2025-06-03 05:21:40
Comp En De Mn Cemig ADS,CIG,"$5,351,532,144",,time-not-supplied,Mar/2025,N/A,$0.08,2025-06-03 05:21:40
"Asana, Inc.",ASAN,"$4,174,373,769",($0.19),time-after-hours,Apr/2025,6,($0.28),2025-06-03 05:21:40
Signet Jewelers Limited,SIG,"$2,855,572,541",$1.02,time-pre-market,Apr/2025,3,$1.11,2025-06-03 05:21:40
"Couchbase, Inc.",BASE,"$959,517,217",($0.36),time-after-hours,Apr/2025,8,($0.40),2025-06-03 05:21:40
"Yext, Inc.",YEXT,"$848,712,881",$0,time-after-hours,Apr/2025,2,($0.03),2025-06-03 05:21:40
China Yuchai International Limited,CYD,"$642,688,856",,time-not-supplied,Mar/2025,N/A,N/A,2025-06-03 05:21:40
National Energy Services Reunited Corp,NESR,"$593,563,390",$0.20,time-pre-market,Mar/2025,1,$0.15,2025-06-03 05:21:40
"Village Super Market, Inc.",VLGEA,"$568,931,698",,time-not-supplied,Apr/2025,N/A,$0.64,2025-06-03 05:21:40
"Digital Turbine, Inc.",APPS,"$495,632,138",($0.03),time-not-supplied,Mar/2025,1,$0.06,2025-06-03 05:21:40
"Mama's Creations, Inc.",MAMA,"$312,422,760",$0.02,time-after-hours,Apr/2025,1,$0.01,2025-06-03 05:21:40
"Citi Trends, Inc.",CTRN,"$219,194,370",,time-pre-market,Apr/2025,N/A,($0.32),2025-06-03 05:21:40
"Sportsman's Warehouse Holdings, Inc.",SPWH,"$72,046,964",($0.48),time-after-hours,Apr/2025,2,($0.47),2025-06-03 05:21:40
American Resources Corporation,AREC,"$52,515,943",($0.05),time-not-supplied,Mar/2025,1,($0.03),2025-06-03 05:21:40
Beamr Imaging Ltd.,BMR,"$44,849,315",,time-not-supplied,Mar/2025,1,N/A,2025-06-03 05:21:40
"Cyclacel Pharmaceuticals, Inc.",CYCC,"$36,303,924",,time-not-supplied,Mar/2025,1,($36.32),2025-06-03 05:21:40
Laser Photonics Corporation,LASE,"$31,676,185",,time-not-supplied,Mar/2025,1,($0.06),2025-06-03 05:21:40
EuroDry Ltd.,EDRY,"$22,981,047",($1.84),time-not-supplied,Mar/2025,1,($1.18),2025-06-03 05:21:40
"Synlogic, Inc.",SYBX,"$13,450,525",($0.15),time-not-supplied,Mar/2025,1,($2.60),2025-06-03 05:21:40
Brand Engagement Network Inc.,BNAI,"$11,794,575",,time-not-supplied,Mar/2025,N/A,($0.27),2025-06-03 05:21:40
Foresight Autonomous Holdings Ltd.,FRSX,"$10,145,389",,time-not-supplied,Mar/2025,1,($0.09),2025-06-03 05:21:40
"urban-gro, Inc.",UGRO,"$4,313,020",,time-not-supplied,Mar/2025,1,($0.12),2025-06-03 05:21:40
Brenmiller Energy Ltd,BNRG,"$4,030,396",,time-not-supplied,Mar/2025,1,N/A,2025-06-03 05:21:40
