Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"Home Depot, Inc. (The)",HD,"$378,507,568,931",$3.59,time-pre-market,Apr/2025,13,$3.63,2025-05-20 05:20:49
"Palo Alto Networks, Inc.",PANW,"$127,772,058,000",$0.41,time-after-hours,Apr/2025,15,$0.44,2025-05-20 05:20:49
Keysight Technologies Inc.,KEYS,"$28,582,859,016",$1.40,time-after-hours,Apr/2025,4,$1.24,2025-05-20 05:20:49
Vodafone Group Plc,VOD,"$23,531,151,031",,time-not-supplied,Mar/2025,1,N/A,2025-05-20 05:20:49
Viking Holdings Ltd,VIK,"$21,363,504,255",($0.26),time-pre-market,Mar/2025,6,($0.03),2025-05-20 05:20:49
Elbit Systems Ltd.,ESLT,"$17,626,361,609",$2.30,time-pre-market,Mar/2025,1,$1.81,2025-05-20 05:20:49
"Amer Sports, Inc.",AS,"$17,246,743,607",$0.15,time-pre-market,Mar/2025,5,$0.08,2025-05-20 05:20:49
ZTO Express (Cayman) Inc.,ZTO,"$15,019,426,708",,time-after-hours,Mar/2025,N/A,$0.32,2025-05-20 05:20:49
H World Group Limited,HTHT,"$11,534,770,363",$0.39,time-pre-market,Mar/2025,1,$0.29,2025-05-20 05:20:49
James Hardie Industries plc.,JHX,"$10,935,710,623",$0.37,time-after-hours,Mar/2025,2,$0.40,2025-05-20 05:20:49
"Toll Brothers, Inc.",TOL,"$10,665,612,620",$2.86,time-after-hours,Apr/2025,7,$3.38,2025-05-20 05:20:49
XP Inc.,XP,"$10,087,437,612",$0.35,time-not-supplied,Mar/2025,1,$0.37,2025-05-20 05:20:49
Vipshop Holdings Limited,VIPS,"$9,085,862,660",$0.56,time-pre-market,Mar/2025,2,$0.58,2025-05-20 05:20:49
Eagle Materials Inc,EXP,"$7,986,703,945",$2.34,time-pre-market,Mar/2025,3,$2.24,2025-05-20 05:20:49
Bilibili Inc.,BILI,"$7,889,423,521",($0.03),time-pre-market,Mar/2025,1,($0.24),2025-05-20 05:20:49
Pony AI Inc.,PONY,"$6,548,041,752",,time-pre-market,Mar/2025,1,N/A,2025-05-20 05:20:49
Modine Manufacturing Company,MOD,"$5,495,560,220",$0.95,time-after-hours,Mar/2025,5,$0.77,2025-05-20 05:20:49
GDS Holdings Limited,GDS,"$5,293,447,002",($0.22),time-pre-market,Mar/2025,1,($0.27),2025-05-20 05:20:49
Comp En De Mn Cemig ADS,CIG,"$5,237,060,868",,time-not-supplied,Mar/2025,N/A,$0.08,2025-05-20 05:20:49
FinVolution Group,FINV,"$2,154,017,819",,time-after-hours,Mar/2025,1,$0.29,2025-05-20 05:20:49
IHS Holding Limited,IHS,"$2,094,009,084",$0.17,time-pre-market,Mar/2025,1,($0.07),2025-05-20 05:20:49
Tuya Inc.,TUYA,"$1,664,540,921",$0,time-after-hours,Mar/2025,1,($0.01),2025-05-20 05:20:49
"ViaSat, Inc.",VSAT,"$1,409,990,280",($0.14),time-after-hours,Mar/2025,4,($0.72),2025-05-20 05:20:49
"Evolv Technologies Holdings, Inc.",EVLV,"$892,547,975",($0.09),time-after-hours,Mar/2025,1,($0.08),2025-05-20 05:20:49
Hovnanian Enterprises Inc,HOV,"$660,657,833",$2.45,time-pre-market,Apr/2025,1,$6.66,2025-05-20 05:20:49
X Financial,XYF,"$633,140,910",,time-pre-market,Mar/2025,1,$0.88,2025-05-20 05:20:49
ATRenew Inc.,RERE,"$617,683,907",$0.03,time-pre-market,Mar/2025,1,$0.01,2025-05-20 05:20:49
Daily Journal Corp. (S.C.),DJCO,"$573,339,798",,time-not-supplied,Mar/2025,1,$11.19,2025-05-20 05:20:49
Auna SA,AUNA,"$514,093,578",$0.10,time-after-hours,Mar/2025,1,$0.10,2025-05-20 05:20:49
ZKH Group Limited,ZKH,"$479,440,596",,time-pre-market,Mar/2025,1,($0.08),2025-05-20 05:20:49
"NextNRG, Inc.",NXXT,"$347,195,796",,time-not-supplied,Mar/2025,1,($1.13),2025-05-20 05:20:49
Canaan Inc.,CAN,"$333,395,081",($0.15),time-pre-market,Mar/2025,2,($0.16),2025-05-20 05:20:49
Bioceres Crop Solutions Corp.,BIOX,"$292,245,446",($0.09),time-after-hours,Mar/2025,2,$0.14,2025-05-20 05:20:49
Ellington Credit Company,EARN,"$214,087,412",$0.27,time-after-hours,Mar/2025,1,$0.27,2025-05-20 05:20:49
DouYu International Holdings Limited,DOYU,"$209,139,493",,time-pre-market,Mar/2025,1,($0.37),2025-05-20 05:20:49
Arbe Robotics Ltd.,ARBE,"$186,138,843",($0.13),time-pre-market,Mar/2025,1,($0.14),2025-05-20 05:20:49
Freightos Limited,CRGO,"$113,597,018",($0.10),time-pre-market,Mar/2025,1,($0.06),2025-05-20 05:20:49
Massimo Group,MAMO,"$92,237,829",,time-not-supplied,Mar/2025,1,$0.08,2025-05-20 05:20:49
Carlyle Credit Income Fund,CCIF,"$78,362,988",$0.22,time-after-hours,Mar/2025,2,$0.33,2025-05-20 05:20:49
American Resources Corporation,AREC,"$72,079,188",($0.05),time-not-supplied,Mar/2025,1,($0.03),2025-05-20 05:20:49
Eltek Ltd.,ELTK,"$71,152,710",,time-pre-market,Mar/2025,N/A,$0.27,2025-05-20 05:20:49
"Cyclacel Pharmaceuticals, Inc.",CYCC,"$44,544,692",,time-not-supplied,Mar/2025,1,($36.32),2025-05-20 05:20:49
"Flanigan's Enterprises, Inc.",BDL,"$43,455,167",,time-not-supplied,Mar/2025,1,$1.04,2025-05-20 05:20:49
Laser Photonics Corporation,LASE,"$39,145,678",,time-not-supplied,Mar/2025,1,($0.06),2025-05-20 05:20:49
Pyxis Tankers Inc.,PXS,"$32,191,606",,time-not-supplied,Mar/2025,1,$0.30,2025-05-20 05:20:49
EuroDry Ltd.,EDRY,"$26,058,236",($1.84),time-not-supplied,Mar/2025,1,($1.18),2025-05-20 05:20:49
CXApp Inc.,CXAI,"$22,182,478",,time-after-hours,Mar/2025,1,($0.34),2025-05-20 05:20:49
"ProPhase Labs, Inc.",PRPH,"$16,207,180",($0.18),time-pre-market,Mar/2025,1,($0.07),2025-05-20 05:20:49
"Synlogic, Inc.",SYBX,"$12,631,798",($0.15),time-not-supplied,Mar/2025,1,($2.60),2025-05-20 05:20:49
Brand Engagement Network Inc.,BNAI,"$12,428,692",,time-not-supplied,Mar/2025,1,($0.27),2025-05-20 05:20:49
"Amaze Holdings, Inc.",AMZE,"$6,427,973",,time-not-supplied,Mar/2025,1,($0.08),2025-05-20 05:20:49
Purple Biotech Ltd.,PPBT,"$6,011,414",,time-not-supplied,Mar/2025,N/A,($3.20),2025-05-20 05:20:49
Ryvyl Inc.,RVYL,"$5,762,249",($0.27),time-not-supplied,Mar/2025,2,($0.45),2025-05-20 05:20:49
"urban-gro, Inc.",UGRO,"$4,837,388",,time-not-supplied,Mar/2025,1,($0.12),2025-05-20 05:20:49
iSpecimen Inc.,ISPC,"$2,821,450",,time-not-supplied,Mar/2025,1,($6.40),2025-05-20 05:20:49
