Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Berkshire Hathaway Inc.,BRK.A,"$1,150,952,368,800",,time-not-supplied,Mar/2025,N/A,N/A,2025-05-02 05:20:12
Berkshire Hathaway Inc.,BRK.B,"$1,149,996,442,842",$4.81,time-not-supplied,Mar/2025,2,$5.19,2025-05-02 05:20:12
Exxon Mobil Corporation,XOM,"$458,343,708,152",$1.74,time-pre-market,Mar/2025,7,$2.06,2025-05-02 05:20:12
Chevron Corporation,CVX,"$239,547,036,944",$2.15,time-pre-market,Mar/2025,6,$2.93,2025-05-02 05:20:12
Shell PLC,SHEL,"$199,277,838,278",$1.59,time-pre-market,Mar/2025,3,$2.38,2025-05-02 05:20:12
"Eaton Corporation, PLC",ETN,"$115,393,040,000",$2.70,time-pre-market,Mar/2025,11,$2.40,2025-05-02 05:20:12
The Cigna Group,CI,"$93,061,624,899",$6.39,time-pre-market,Mar/2025,10,$6.47,2025-05-02 05:20:12
"Apollo Global Management, Inc.",APO,"$77,859,173,863",$1.74,time-pre-market,Mar/2025,7,$1.50,2025-05-02 05:20:12
NatWest Group plc,NWG,"$52,354,453,118",$0.34,time-not-supplied,Mar/2025,1,$0.26,2025-05-02 05:20:12
Imperial Oil Limited,IMO,"$34,299,452,100",$1.52,time-pre-market,Mar/2025,3,$1.65,2025-05-02 05:20:12
"DuPont de Nemours, Inc.",DD,"$31,538,734,264",$0.95,time-pre-market,Mar/2025,4,$0.79,2025-05-02 05:20:12
"Cheniere Energy Partners, LP",CQP,"$28,452,348,670",$1.06,time-not-supplied,Mar/2025,7,$1.18,2025-05-02 05:20:12
"T. Rowe Price Group, Inc.",TROW,"$19,714,283,558",$2.09,time-pre-market,Mar/2025,7,$2.38,2025-05-02 05:20:12
Brookfield Renewable Partners L.P.,BEP,"$15,282,119,140",($0.26),time-pre-market,Mar/2025,4,($0.23),2025-05-02 05:20:12
Westlake Corporation,WLK,"$11,852,253,517",$0.70,time-pre-market,Mar/2025,8,$1.34,2025-05-02 05:20:12
"Cboe Global Markets, Inc.",CBOE,"$11,636,977,312",$2.36,time-pre-market,Mar/2025,10,$2.15,2025-05-02 05:20:12
Brookfield Renewable Corporation,BEPC,"$10,646,939,789",($0.09),time-not-supplied,Mar/2025,1,($0.23),2025-05-02 05:20:12
"Magna International, Inc.",MGA,"$9,985,856,102",$0.90,time-pre-market,Mar/2025,4,$1.08,2025-05-02 05:20:12
"Franklin Resources, Inc.",BEN,"$9,856,466,049",$0.47,time-pre-market,Mar/2025,7,$0.56,2025-05-02 05:20:12
nVent Electric plc,NVT,"$9,061,366,037",$0.66,time-pre-market,Mar/2025,4,$0.77,2025-05-02 05:20:12
Nebius Group N.V.,NBIS,"$8,216,492,247",($0.41),time-not-supplied,Mar/2025,1,($0.22),2025-05-02 05:20:12
Fluor Corporation,FLR,"$5,888,957,252",$0.50,time-pre-market,Mar/2025,3,$0.47,2025-05-02 05:20:12
United States Cellular Corporation,USM,"$5,836,100,000",$0.37,time-pre-market,Mar/2025,2,$0.20,2025-05-02 05:20:12
Brookfield Business Partners L.P.,BBU,"$4,796,581,385",$1.28,time-pre-market,Mar/2025,1,$0.23,2025-05-02 05:20:12
Madison Square Garden Sports Corp.,MSGS,"$4,623,579,125",$1.79,time-pre-market,Mar/2025,3,$1.57,2025-05-02 05:20:12
Piper Sandler Companies,PIPR,"$4,275,161,282",$2.42,time-pre-market,Mar/2025,1,$2.79,2025-05-02 05:20:12
"Telephone and Data Systems, Inc.",TDS,"$4,273,860,000",($0.02),time-pre-market,Mar/2025,3,$0.10,2025-05-02 05:20:12
Liberty Global Ltd.,LBTYK,"$3,954,877,878",,time-pre-market,Mar/2025,3,$1.32,2025-05-02 05:20:12
"IES Holdings, Inc.",IESC,"$3,934,903,988",,time-pre-market,Mar/2025,3,$2.29,2025-05-02 05:20:12
Liberty Global Ltd.,LBTYB,"$3,836,301,293",,time-pre-market,Mar/2025,3,$1.32,2025-05-02 05:20:12
Liberty Global Ltd.,LBTYA,"$3,818,863,560",,time-pre-market,Mar/2025,N/A,$1.32,2025-05-02 05:20:12
Cinemark Holdings Inc,CNK,"$3,658,111,803",($0.23),time-pre-market,Mar/2025,5,$0.19,2025-05-02 05:20:12
"BrightSpring Health Services, Inc.",BTSG,"$3,067,290,819",$0.10,time-pre-market,Mar/2025,4,$0.12,2025-05-02 05:20:12
Atmus Filtration Technologies Inc.,ATMU,"$2,872,970,114",$0.59,time-pre-market,Mar/2025,4,$0.60,2025-05-02 05:20:12
Wendy's Company (The),WEN,"$2,506,063,350",$0.20,time-pre-market,Mar/2025,11,$0.23,2025-05-02 05:20:12
"Amneal Pharmaceuticals, Inc.",AMRX,"$2,374,342,172",$0.14,time-pre-market,Mar/2025,2,$0.12,2025-05-02 05:20:12
Terex Corporation,TEX,"$2,337,280,000",$0.49,time-pre-market,Mar/2025,6,$1.60,2025-05-02 05:20:12
