Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Levi Strauss & Co.,LEVI,"$5,716,516,052",$0.28,time-after-hours,Feb/2025,5,$0.26,2025-04-07 05:20:29
"Greenbrier Companies, Inc. (The)",GBX,"$1,477,016,672",,time-after-hours,Feb/2025,N/A,$1.03,2025-04-07 05:20:29
"Dave & Buster's Entertainment, Inc.",PLAY,"$654,549,062",$0.64,time-after-hours,Jan/2025,5,$1.03,2025-04-07 05:20:29
"Red Cat Holdings, Inc.",RCAT,"$544,291,710",,time-not-supplied,Jan/2025,N/A,($0.08),2025-04-07 05:20:29
