Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Algonquin Power & Utilities Corp.,AQN,"$3,696,891,800",$0.08,time-pre-market,Dec/2024,5,$0.16,2025-03-07 05:18:47
Advantage Solutions Inc. ,ADV,"$766,601,460",($0.06),time-pre-market,Dec/2024,2,$0.06,2025-03-07 05:18:47
Genesco Inc.,GCO,"$365,633,462",$3.31,time-pre-market,Jan/2025,2,$2.59,2025-03-07 05:18:47
Galiano Gold Inc.,GAU,"$313,441,724",$0.08,time-not-supplied,Dec/2024,1,($0.03),2025-03-07 05:18:47
"Proficient Auto Logistics, Inc.",PAL,"$272,189,895",($0.05),time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
"WhiteHorse Finance, Inc.",WHF,"$250,792,920",$0.39,time-pre-market,Dec/2024,3,$0.46,2025-03-07 05:18:47
Silvercrest Asset Management Group Inc.,SAMG,"$241,523,161",,time-pre-market,Dec/2024,N/A,$0.07,2025-03-07 05:18:47
"Mammoth Energy Services, Inc.",TUSK,"$104,195,754",,time-pre-market,Dec/2024,4,($0.12),2025-03-07 05:18:47
inTest Corporation,INTT,"$97,264,160",$0.14,time-pre-market,Dec/2024,1,$0.16,2025-03-07 05:18:47
Oncolytics Biotech Inc.,ONCY,"$56,807,994",($0.08),time-pre-market,Dec/2024,2,($0.04),2025-03-07 05:18:47
"Texas Community Bancshares, Inc.",TCBS,"$50,473,562",,time-not-supplied,Dec/2024,4,($0.11),2025-03-07 05:18:47
Immuneering Corporation,IMRX,"$46,575,672",($0.47),time-not-supplied,Dec/2024,4,($0.52),2025-03-07 05:18:47
OS Therapies Incorporated,OSTX,"$35,468,091",($0.14),time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
Synergy CHC Corp.,SNYR,"$33,820,112",$0.10,time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
Real Messenger Corporation,RMSG,"$16,405,484",,time-not-supplied,Dec/2024,4,$0.02,2025-03-07 05:18:47
Lifeward Ltd.,LFWD,"$15,150,006",($0.20),time-pre-market,Dec/2024,1,($0.35),2025-03-07 05:18:47
Sky Quarry Inc.,SKYQ,"$12,786,289",,time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
Creative Media & Community Trust Corporation,CMCT,"$7,353,041",,time-pre-market,Dec/2024,N/A,($3.63),2025-03-07 05:18:47
EON Resources Inc.,EONR,"$4,495,892",,time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
"Tharimmune, Inc.",THAR,"$2,362,799",,time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
Medicus Pharma Ltd.,MDCX,,($0.31),time-not-supplied,Dec/2024,4,N/A,2025-03-07 05:18:47
