Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Sony Group Corporation,SONY,"$148,918,148,795",$0.12,time-not-supplied,Mar/2025,2,$0.21,2025-05-13 05:20:33
Sea Limited,SE,"$82,391,414,215",$0.61,time-pre-market,Mar/2025,3,($0.04),2025-05-13 05:20:33
Nu Holdings Ltd.,NU,"$61,823,390,351",$0.12,time-not-supplied,Mar/2025,3,$0.09,2025-05-13 05:20:33
"JD.com, Inc.",JD,"$49,208,550,856",$0.99,time-pre-market,Mar/2025,2,$0.73,2025-05-13 05:20:33
Alcon Inc.,ALC,"$47,359,513,023",$0.76,time-after-hours,Mar/2025,7,$0.78,2025-05-13 05:20:33
On Holding AG,ONON,"$31,368,546,521",$0.18,time-pre-market,Mar/2025,5,$0.32,2025-05-13 05:20:33
Vodafone Group Plc,VOD,"$23,298,600,403",,time-not-supplied,Mar/2025,1,N/A,2025-05-13 05:20:33
"Venture Global, Inc.",VG,"$22,622,716,307",$0.24,time-pre-market,Mar/2025,1,N/A,2025-05-13 05:20:33
Tencent Music Entertainment Group,TME,"$21,808,575,416",$0.18,time-pre-market,Mar/2025,2,$0.14,2025-05-13 05:20:33
CyberArk Software Ltd.,CYBR,"$17,780,901,911",($0.21),time-pre-market,Mar/2025,12,$0.16,2025-05-13 05:20:33
Telefonica Brasil S.A.,VIV,"$16,104,157,780",$0.12,time-not-supplied,Mar/2025,1,$0.11,2025-05-13 05:20:33
"Exelixis, Inc.",EXEL,"$10,123,312,047",$0.35,time-after-hours,Mar/2025,7,$0.12,2025-05-13 05:20:33
Loar Holdings Inc.,LOAR,"$8,970,156,087",$0.13,time-pre-market,Mar/2025,1,$0.02,2025-05-13 05:20:33
CAE Inc,CAE,"$8,267,516,386",$0.32,time-after-hours,Mar/2025,11,$0.09,2025-05-13 05:20:33
MINISO Group Holding Limited,MNSO,"$6,146,244,734",,time-not-supplied,Mar/2025,N/A,$0.26,2025-05-13 05:20:33
Legend Biotech Corporation,LEGN,"$5,836,370,241",($0.29),time-pre-market,Mar/2025,8,($0.16),2025-05-13 05:20:33
Comp En De Mn Cemig ADS,CIG,"$5,437,385,601",,time-not-supplied,Mar/2025,N/A,$0.08,2025-05-13 05:20:33
BRF S.A.,BRFS,"$5,407,324,254",$0.09,time-not-supplied,Mar/2025,1,$0.06,2025-05-13 05:20:33
Karman Holdings Inc.,KRMN,"$5,128,374,208",$0.02,time-after-hours,Mar/2025,1,N/A,2025-05-13 05:20:33
"Landstar System, Inc.",LSTR,"$4,787,446,856",$0.92,time-after-hours,Mar/2025,8,$1.32,2025-05-13 05:20:33
Pampa Energia S.A.,PAM,"$4,102,854,040",$1.09,time-not-supplied,Mar/2025,2,$4.90,2025-05-13 05:20:33
Oklo Inc.,OKLO,"$3,905,024,187",($0.11),time-after-hours,Mar/2025,4,($4.79),2025-05-13 05:20:33
"Silicon Laboratories, Inc.",SLAB,"$3,799,171,444",($0.56),time-pre-market,Mar/2025,4,($1.34),2025-05-13 05:20:33
Orla Mining Ltd.,ORLA,"$3,578,990,283",$0.10,time-not-supplied,Mar/2025,3,$0.05,2025-05-13 05:20:33
International Game Technology,IGT,"$3,478,984,755",$0.14,time-pre-market,Mar/2025,3,$0.46,2025-05-13 05:20:33
Camtek Ltd.,CAMT,"$3,035,224,134",$0.71,time-pre-market,Mar/2025,4,$0.57,2025-05-13 05:20:33
"Under Armour, Inc.",UAA,"$2,510,369,225",($0.09),time-pre-market,Mar/2025,12,$0.11,2025-05-13 05:20:33
MoonLake Immunotherapeutics,MLTX,"$2,462,543,448",($0.76),time-not-supplied,Mar/2025,6,($0.22),2025-05-13 05:20:33
