Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Vipshop Holdings Limited,VIPS,"$7,901,355,074",$0.65,time-pre-market,Dec/2024,2,$0.76,2025-02-21 05:17:46
United States Cellular Corporation,USM,"$5,750,820,000",($0.09),time-pre-market,Dec/2024,2,$0.16,2025-02-21 05:17:46
Balchem Corporation,BCPC,"$5,324,113,726",$1.11,time-pre-market,Dec/2024,2,$0.82,2025-02-21 05:17:46
"TXNM Energy, Inc.",TXNM,"$4,597,513,572",$0.30,time-pre-market,Dec/2024,2,$0.18,2025-02-21 05:17:46
"Telephone and Data Systems, Inc.",TDS,"$4,471,410,000",($0.32),time-pre-market,Dec/2024,3,($0.11),2025-02-21 05:17:46
Brady Corporation,BRC,"$3,547,787,209",,time-pre-market,Jan/2025,N/A,$0.93,2025-02-21 05:17:46
Atmus Filtration Technologies Inc.,ATMU,"$3,298,913,304",$0.52,time-pre-market,Dec/2024,4,$0.49,2025-02-21 05:17:46
Arbor Realty Trust,ABR,"$2,606,573,298",$0.41,time-pre-market,Dec/2024,3,$0.47,2025-02-21 05:17:46
"Sunstone Hotel Investors, Inc.",SHO,"$2,282,238,177",$0.14,time-pre-market,Dec/2024,6,$0.19,2025-02-21 05:17:46
Federal Agricultural Mortgage Corporation,AGM,"$2,159,961,031",$4.16,time-pre-market,Dec/2024,2,$4.10,2025-02-21 05:17:46
"Hawaiian Electric Industries, Inc.",HE,"$2,063,067,564",$0.39,time-after-hours,Dec/2024,1,$0.48,2025-02-21 05:17:46
National HealthCare Corporation,NHC,"$1,557,386,320",,time-not-supplied,Dec/2024,2,$0.98,2025-02-21 05:17:46
Uniti Group Inc.,UNIT,"$1,337,747,701",$0.32,time-pre-market,Dec/2024,1,$0.34,2025-02-21 05:17:46
AdvanSix Inc.,ASIX,"$808,078,402",($0.41),time-pre-market,Dec/2024,2,($0.17),2025-02-21 05:17:46
"Oil States International, Inc.",OIS,"$337,644,005",$0.06,time-pre-market,Dec/2024,1,$0.11,2025-02-21 05:17:46
Galiano Gold Inc.,GAU,"$328,856,890",$0.08,time-not-supplied,Dec/2024,1,($0.03),2025-02-21 05:17:46
"Proficient Auto Logistics, Inc.",PAL,"$294,894,910",($0.05),time-not-supplied,Dec/2024,2,N/A,2025-02-21 05:17:46
"StealthGas, Inc.",GASS,"$200,228,486",,time-pre-market,Dec/2024,2,$0.29,2025-02-21 05:17:46
OS Therapies Incorporated,OSTX,"$39,503,383",($0.14),time-not-supplied,Dec/2024,2,N/A,2025-02-21 05:17:46
Enlightify Inc.,ENFY,"$17,530,342",,time-not-supplied,Dec/2024,2,($0.40),2025-02-21 05:17:46
Sky Quarry Inc.,SKYQ,"$17,484,558",,time-not-supplied,Dec/2024,2,N/A,2025-02-21 05:17:46
EON Resources Inc.,EONR,"$6,112,062",,time-not-supplied,Dec/2024,2,N/A,2025-02-21 05:17:46
