Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
"Charles River Laboratories International, Inc.",CRL,"$7,772,187,694",$2.50,time-pre-market,Dec/2024,8,$2.46,2025-02-19 05:18:14
Jackson Financial Inc.,JXN,"$7,139,479,364",$4.72,time-after-hours,Dec/2024,2,$2.53,2025-02-19 05:18:14
"Clearwater Analytics Holdings, Inc.",CWAN,"$6,647,424,747",$0.03,time-after-hours,Dec/2024,5,N/A,2025-02-19 05:18:14
"Etsy, Inc.",ETSY,"$6,434,570,370",$0.95,time-pre-market,Dec/2024,10,$0.78,2025-02-19 05:18:14
Loar Holdings Inc.,LOAR,"$6,112,401,327",$0.04,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Blue Owl Capital Corporation,OBDC,"$6,005,444,308",$0.47,time-after-hours,Dec/2024,2,$0.51,2025-02-19 05:18:14
Healthcare Realty Trust Incorporated,HR,"$5,843,861,681",$0.39,time-pre-market,Dec/2024,4,$0.39,2025-02-19 05:18:14
Bausch + Lomb Corporation,BLCO,"$5,779,011,650",$0.23,time-pre-market,Dec/2024,8,$0.24,2025-02-19 05:18:14
"Remitly Global, Inc.",RELY,"$5,375,379,909",($0.07),time-after-hours,Dec/2024,2,($0.19),2025-02-19 05:18:14
"Grand Canyon Education, Inc.",LOPE,"$5,354,079,969",$2.93,time-after-hours,Dec/2024,1,$2.77,2025-02-19 05:18:14
"Ionis Pharmaceuticals, Inc.",IONS,"$4,901,131,788",($1.12),time-pre-market,Dec/2024,10,($0.06),2025-02-19 05:18:14
SM Energy Company,SM,"$4,407,397,268",$1.93,time-after-hours,Dec/2024,5,$1.56,2025-02-19 05:18:14
"Krystal Biotech, Inc.",KRYS,"$4,407,266,375",$1.29,time-pre-market,Dec/2024,3,$0.30,2025-02-19 05:18:14
"Goosehead Insurance, Inc.",GSHD,"$4,274,179,720",$0.17,time-not-supplied,Dec/2024,5,$0.14,2025-02-19 05:18:14
Enpro Inc.,NPO,"$4,084,787,220",$1.50,time-pre-market,Dec/2024,1,$1.19,2025-02-19 05:18:14
"ONE Gas, Inc.",OGS,"$4,052,550,461",$1.33,time-after-hours,Dec/2024,5,$1.27,2025-02-19 05:18:14
Cinemark Holdings Inc,CNK,"$3,984,188,901",$0.39,time-pre-market,Dec/2024,5,($0.15),2025-02-19 05:18:14
"Sabra Health Care REIT, Inc.",SBRA,"$3,908,414,018",$0.35,time-after-hours,Dec/2024,3,$0.33,2025-02-19 05:18:14
Travel   Leisure Co.,TNL,"$3,859,416,870",$1.71,time-pre-market,Dec/2024,8,$1.98,2025-02-19 05:18:14
Tanger Inc.,SKT,"$3,791,220,762",$0.52,time-after-hours,Dec/2024,3,$0.52,2025-02-19 05:18:14
ACV Auctions Inc.,ACVA,"$3,620,185,000",($0.12),time-after-hours,Dec/2024,5,($0.12),2025-02-19 05:18:14
Hudbay Minerals Inc.,HBM,"$3,604,494,370",$0.18,time-pre-market,Dec/2024,14,$0.20,2025-02-19 05:18:14
"Northern Oil and Gas, Inc.",NOG,"$3,504,861,508",$1.13,time-after-hours,Dec/2024,8,$1.61,2025-02-19 05:18:14
Clarivate Plc,CLVT,"$3,480,977,478",$0.18,time-pre-market,Dec/2024,5,$0.21,2025-02-19 05:18:14
Triple Flag Precious Metals Corp.,TFPM,"$3,455,411,275",$0.17,time-not-supplied,Dec/2024,4,$0.09,2025-02-19 05:18:14
B2Gold Corp ,BTG,"$3,329,426,691",$0.06,time-after-hours,Dec/2024,6,$0.07,2025-02-19 05:18:14
MGE Energy Inc.,MGEE,"$3,238,401,393",$0.84,time-not-supplied,Dec/2024,1,$0.55,2025-02-19 05:18:14
Amedisys Inc,AMED,"$3,032,754,730",$1.05,time-not-supplied,Dec/2024,7,$0.94,2025-02-19 05:18:14
"Medical Properties Trust, Inc.",MPW,"$2,971,980,000",$0.16,time-not-supplied,Dec/2024,5,$0.36,2025-02-19 05:18:14
McGrath RentCorp,MGRC,"$2,955,471,529",$1.49,time-after-hours,Dec/2024,1,$1.30,2025-02-19 05:18:14
"Amicus Therapeutics, Inc.",FOLD,"$2,919,332,402",$0.04,time-pre-market,Dec/2024,5,($0.11),2025-02-19 05:18:14
Equinox Gold Corp.,EQX,"$2,905,264,733",$0.20,time-after-hours,Dec/2024,2,$0.01,2025-02-19 05:18:14
"Broadstone Net Lease, Inc.",BNL,"$2,894,200,502",$0.35,time-not-supplied,Dec/2024,4,$0.36,2025-02-19 05:18:14
"Vital Energy, Inc.",VTLE,"$2,836,609,005",$2.16,time-after-hours,Dec/2024,6,$2.55,2025-02-19 05:18:14
American States Water Company,AWR,"$2,799,236,414",$0.60,time-after-hours,Dec/2024,2,$0.55,2025-02-19 05:18:14
St. Joe Company (The),JOE,"$2,791,984,761",,time-not-supplied,Dec/2024,10,$0.23,2025-02-19 05:18:14
The Cheesecake Factory Incorporated,CAKE,"$2,722,459,091",$0.92,time-after-hours,Dec/2024,11,$0.80,2025-02-19 05:18:14
Park Hotels & Resorts Inc.,PK,"$2,658,491,492",$0.37,time-after-hours,Dec/2024,7,$0.52,2025-02-19 05:18:14
Manchester United Ltd.,MANU,"$2,654,902,602",($0.07),time-pre-market,Dec/2024,2,$0.14,2025-02-19 05:18:14
"Coeur Mining, Inc.",CDE,"$2,638,980,286",$0.14,time-after-hours,Dec/2024,2,($0.02),2025-02-19 05:18:14
"Oceaneering International, Inc.",OII,"$2,575,008,672",$0.45,time-after-hours,Dec/2024,2,$0.19,2025-02-19 05:18:14
"Mister Car Wash, Inc.",MCW,"$2,542,552,231",$0.06,time-after-hours,Dec/2024,6,$0.05,2025-02-19 05:18:14
OneSpaWorld Holdings Limited,OSW,"$2,339,593,695",$0.18,time-pre-market,Dec/2024,4,$0.10,2025-02-19 05:18:14
Appian Corporation,APPN,"$2,338,532,601",($0.14),time-pre-market,Dec/2024,4,($0.07),2025-02-19 05:18:14
Bausch Health Companies Inc.,BHC,"$2,265,668,950",$1.12,time-after-hours,Dec/2024,6,$1.15,2025-02-19 05:18:14
"OPENLANE, Inc.",KAR,"$2,200,992,600",$0.21,time-after-hours,Dec/2024,3,$0.16,2025-02-19 05:18:14
"Trupanion, Inc.",TRUP,"$2,101,508,599",$0.06,time-after-hours,Dec/2024,6,($0.05),2025-02-19 05:18:14
"Innovative Industrial Properties, Inc.",IIPR,"$2,071,056,992",$2.08,time-after-hours,Dec/2024,2,$2.28,2025-02-19 05:18:14
Enovix Corporation,ENVX,"$2,037,838,985",($0.25),time-after-hours,Dec/2024,4,($0.35),2025-02-19 05:18:14
Materion Corporation,MTRN,"$2,013,081,866",$1.42,time-pre-market,Dec/2024,2,$1.41,2025-02-19 05:18:14
Enlight Renewable Energy Ltd.,ENLT,"$2,004,184,811",($0.13),time-pre-market,Dec/2024,2,$0.12,2025-02-19 05:18:14
"UFP Technologies, Inc.",UFPT,"$1,976,301,959",,time-not-supplied,Dec/2024,10,$1.53,2025-02-19 05:18:14
"Gibraltar Industries, Inc.",ROCK,"$1,785,574,970",$0.94,time-pre-market,Dec/2024,1,$0.85,2025-02-19 05:18:14
"PROG Holdings, Inc.",PRG,"$1,778,888,644",$0.75,time-pre-market,Dec/2024,2,$0.72,2025-02-19 05:18:14
Rogers Corporation,ROG,"$1,667,134,162",$0.45,time-after-hours,Dec/2024,1,$0.60,2025-02-19 05:18:14
"Amplitude, Inc.",AMPL,"$1,537,310,243",($0.20),time-after-hours,Dec/2024,4,($0.16),2025-02-19 05:18:14
"Empire State Realty Trust, Inc.",ESRT,"$1,519,159,021",,time-after-hours,Dec/2024,N/A,$0.25,2025-02-19 05:18:14
"Wolverine World Wide, Inc.",WWW,"$1,483,640,546",$0.41,time-pre-market,Dec/2024,4,($0.30),2025-02-19 05:18:14
Liberty Latin America Ltd.,LILA,"$1,449,679,000",,time-after-hours,Dec/2024,N/A,($0.49),2025-02-19 05:18:14
Liberty Latin America Ltd.,LILAK,"$1,441,811,000",,time-after-hours,Dec/2024,10,($0.49),2025-02-19 05:18:14
Imax Corporation,IMAX,"$1,420,850,827",$0.19,time-after-hours,Dec/2024,6,$0.08,2025-02-19 05:18:14
Stepan Company,SCL,"$1,388,374,612",$0.34,time-pre-market,Dec/2024,2,$0.33,2025-02-19 05:18:14
SFL Corporation Ltd,SFL,"$1,375,502,400",,time-not-supplied,Dec/2024,10,$0.30,2025-02-19 05:18:14
Winmark Corporation,WINA,"$1,330,359,915",,time-not-supplied,Dec/2024,10,$2.64,2025-02-19 05:18:14
Universal Corporation,UVV,"$1,305,505,533",,time-not-supplied,Dec/2024,10,$2.16,2025-02-19 05:18:14
Fiverr International Ltd.,FVRR,"$1,289,496,038",$0.18,time-pre-market,Dec/2024,3,$0.16,2025-02-19 05:18:14
Kaiser Aluminum Corporation,KALU,"$1,130,182,351",$0.45,time-after-hours,Dec/2024,1,$0.60,2025-02-19 05:18:14
"TechTarget, Inc.",TTGT,"$1,129,691,091",,time-not-supplied,Dec/2024,N/A,$0.11,2025-02-19 05:18:14
"Vimeo, Inc.",VMEO,"$1,106,225,596",$0.03,time-after-hours,Dec/2024,3,$0.05,2025-02-19 05:18:14
Gentherm Inc,THRM,"$1,097,922,942",$0.68,time-pre-market,Dec/2024,3,$0.90,2025-02-19 05:18:14
Sprott Inc.,SII,"$1,092,216,742",,time-not-supplied,Dec/2024,10,$0.38,2025-02-19 05:18:14
"MFA Financial, Inc.",MFA,"$1,087,179,274",$0.36,time-pre-market,Dec/2024,3,$0.46,2025-02-19 05:18:14
"NerdWallet, Inc.",NRDS,"$1,022,269,028",$0.01,time-after-hours,Dec/2024,4,($0.03),2025-02-19 05:18:14
"SolarEdge Technologies, Inc.",SEDG,"$948,064,192",($2.12),time-pre-market,Dec/2024,10,($1.41),2025-02-19 05:18:14
"PRA Group, Inc.",PRAA,"$933,229,941",$0.45,time-after-hours,Dec/2024,3,($0.22),2025-02-19 05:18:14
ProPetro Holding Corp.,PUMP,"$906,811,062",($0.01),time-pre-market,Dec/2024,4,($0.16),2025-02-19 05:18:14
Orion S.A.,OEC,"$832,902,760",$0.25,time-not-supplied,Dec/2024,1,$0.17,2025-02-19 05:18:14
Borr Drilling Limited,BORR,"$790,581,772",,time-after-hours,Dec/2024,10,$0.11,2025-02-19 05:18:14
Okeanis Eco Tankers Corp.,ECO,"$783,604,588",$0.22,time-after-hours,Dec/2024,1,$0.63,2025-02-19 05:18:14
Ferroglobe PLC,GSM,"$766,571,179",($0.01),time-after-hours,Dec/2024,2,$0.09,2025-02-19 05:18:14
"Plymouth Industrial REIT, Inc.",PLYM,"$757,091,622",$0.46,time-not-supplied,Dec/2024,3,$0.47,2025-02-19 05:18:14
"Armada Hoffler Properties, Inc.",AHH,"$755,496,645",$0.27,time-after-hours,Dec/2024,3,$0.31,2025-02-19 05:18:14
"Crescent Capital BDC, Inc.",CCAP,"$739,192,554",$0.56,time-after-hours,Dec/2024,3,$0.61,2025-02-19 05:18:14
"LENZ Therapeutics, Inc.",LENZ,"$693,572,496",($0.41),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Teekay Corporation Ltd.,TK,"$638,863,397",,time-after-hours,Dec/2024,10,$0.34,2025-02-19 05:18:14
Genco Shipping & Trading Limited ,GNK,"$624,692,845",$0.28,time-after-hours,Dec/2024,4,$0.43,2025-02-19 05:18:14
"Cross Country Healthcare, Inc.",CCRN,"$597,437,143",$0.11,time-not-supplied,Dec/2024,5,$0.29,2025-02-19 05:18:14
"Sturm, Ruger & Company, Inc.",RGR,"$596,410,068",,time-after-hours,Dec/2024,N/A,$0.58,2025-02-19 05:18:14
"Septerna, Inc.",SEPN,"$575,459,536",($0.56),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Farmland Partners Inc.,FPI,"$568,918,842",$0.15,time-after-hours,Dec/2024,1,$0.16,2025-02-19 05:18:14
Herbalife Ltd.,HLF,"$566,450,921",$0,time-after-hours,Dec/2024,2,$0.28,2025-02-19 05:18:14
"New York Mortgage Trust, Inc.",NYMT,"$557,063,611",$0.08,time-after-hours,Dec/2024,3,($0.24),2025-02-19 05:18:14
"Consensus Cloud Solutions, Inc.",CCSI,"$556,136,658",$1.03,time-after-hours,Dec/2024,3,$0.90,2025-02-19 05:18:14
"Mativ Holdings, Inc.",MATV,"$494,456,053",$0.04,time-after-hours,Dec/2024,1,$0.23,2025-02-19 05:18:14
SBC Medical Group Holdings Incorporated,SBC,"$492,439,500",$1.28,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Net Lease Office Properties,NLOP,"$474,598,949",,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Perion Network Ltd,PERI,"$467,435,690",$0.22,time-pre-market,Dec/2024,2,$0.97,2025-02-19 05:18:14
AirJoule Technologies Corporation,AIRJ,"$444,511,593",($0.07),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
"Claros Mortgage Trust, Inc.",CMTG,"$433,417,863",$0.07,time-after-hours,Dec/2024,1,$0.31,2025-02-19 05:18:14
Gladstone Land Corporation,LAND,"$420,465,725",$0.11,time-after-hours,Dec/2024,3,$0.15,2025-02-19 05:18:14
"Haverty Furniture Companies, Inc.",HVT,"$359,828,185",$0.17,time-not-supplied,Dec/2024,2,$0.89,2025-02-19 05:18:14
"Haverty Furniture Companies, Inc.",HVT.A,"$357,265,250",,time-not-supplied,Dec/2024,10,$0.89,2025-02-19 05:18:14
"Spok Holdings, Inc.",SPOK,"$343,008,246",$0.20,time-not-supplied,Dec/2024,1,$0.17,2025-02-19 05:18:14
Logistic Properties of the Americas,LPA,"$301,829,226",,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Alumis Inc.,ALMS,"$283,462,173",($1.39),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Pulmonx Corporation,LUNG,"$275,230,516",($0.43),time-after-hours,Dec/2024,2,($0.36),2025-02-19 05:18:14
"ATN International, Inc.",ATNI,"$266,614,770",($0.24),time-not-supplied,Dec/2024,3,($0.12),2025-02-19 05:18:14
Euroseas Ltd.,ESEA,"$239,399,117",$3.66,time-not-supplied,Dec/2024,1,$3.61,2025-02-19 05:18:14
"TrueBlue, Inc.",TBI,"$221,987,639",($0.13),time-after-hours,Dec/2024,1,$0.08,2025-02-19 05:18:14
Nevro Corp.,NVRO,"$213,962,961",($0.79),time-not-supplied,Dec/2024,7,($0.15),2025-02-19 05:18:14
"Contineum Therapeutics, Inc.",CTNM,"$199,262,339",($0.44),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Inseego Corp.,INSG,"$193,070,431",($0.07),time-after-hours,Dec/2024,1,($1.28),2025-02-19 05:18:14
"TuHURA Biosciences, Inc.",HURA,"$177,172,155",($0.09),time-not-supplied,Dec/2024,1,($8.39),2025-02-19 05:18:14
BankFinancial Corporation,BFIN,"$164,730,163",$0.20,time-not-supplied,Dec/2024,2,$0.17,2025-02-19 05:18:14
"Mastech Digital, Inc",MHH,"$152,762,947",$0.15,time-pre-market,Dec/2024,2,$0.07,2025-02-19 05:18:14
Caesarstone Ltd.,CSTE,"$137,093,834",,time-not-supplied,Dec/2024,10,($0.29),2025-02-19 05:18:14
Renovaro Inc.,RENB,"$128,386,457",,time-not-supplied,Dec/2024,10,($0.07),2025-02-19 05:18:14
Fonar Corporation,FONR,"$108,132,700",,time-not-supplied,Dec/2024,10,$0.54,2025-02-19 05:18:14
Karyopharm Therapeutics Inc.,KPTI,"$77,268,924",($0.26),time-pre-market,Dec/2024,4,($0.36),2025-02-19 05:18:14
"Aimei Health Technology Co., Ltd",AFJK,"$65,400,000",,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
"Outset Medical, Inc.",OM,"$47,235,279",($0.58),time-after-hours,Dec/2024,2,($0.77),2025-02-19 05:18:14
Stardust Power Inc.,SDST,"$34,720,146",($0.07),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Yunhong Green CTI Ltd.,YHGJ,"$17,835,249",,time-not-supplied,Dec/2024,10,$0.02,2025-02-19 05:18:14
Wag! Group Co.,PET,"$17,431,871",,time-not-supplied,Dec/2024,10,($0.09),2025-02-19 05:18:14
"Odyssey Marine Exploration, Inc.",OMEX,"$10,441,442",,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Healthy Choice Wellness Corp.,HCWC,"$7,459,969",,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
"SenesTech, Inc.",SNES,"$3,524,726",($1.50),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
"Ascent Solar Technologies, Inc",ASTI,"$3,113,289",,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Singularity Future Technology Ltd.,SGLY,"$2,973,764",,time-not-supplied,Dec/2024,10,($0.06),2025-02-19 05:18:14
Bone Biologics Corp,BBLG,"$2,562,075",($0.65),time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Churchill Capital Corp IX,CCIX,,,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
Perceptive Capital Solutions Corp,PCSC,,,time-not-supplied,Dec/2024,10,N/A,2025-02-19 05:18:14
