Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
ACV Auctions Inc.,ACVA,"$3,620,185,000",($0.12),,time-after-hours,Dec/2024,5,,2025-02-19 03:27:36
Hudbay Minerals Inc.,HBM,"$3,604,494,370",$0.18,,time-pre-market,Dec/2024,14,,2025-02-19 03:27:36
"Northern Oil and Gas, Inc.",NOG,"$3,504,861,508",$1.13,,time-after-hours,Dec/2024,8,,2025-02-19 03:27:36
Clarivate Plc,CLVT,"$3,480,977,478",$0.18,,time-pre-market,Dec/2024,5,,2025-02-19 03:27:36
Triple Flag Precious Metals Corp.,TFPM,"$3,455,411,275",$0.17,,time-not-supplied,Dec/2024,4,,2025-02-19 03:27:36
B2Gold Corp ,BTG,"$3,329,426,691",$0.06,,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
MGE Energy Inc.,MGEE,"$3,238,401,393",$0.84,,time-not-supplied,Dec/2024,1,,2025-02-19 03:27:36
Amedisys Inc,AMED,"$3,032,754,730",$1.05,,time-not-supplied,Dec/2024,7,,2025-02-19 03:27:36
"Medical Properties Trust, Inc.",MPW,"$2,971,980,000",$0.16,,time-not-supplied,Dec/2024,5,,2025-02-19 03:27:36
McGrath RentCorp,MGRC,"$2,955,471,529",$1.49,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
"Amicus Therapeutics, Inc.",FOLD,"$2,919,332,402",$0.04,,time-pre-market,Dec/2024,5,,2025-02-19 03:27:36
Equinox Gold Corp.,EQX,"$2,905,264,733",$0.20,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
"Broadstone Net Lease, Inc.",BNL,"$2,894,200,502",$0.35,,time-not-supplied,Dec/2024,4,,2025-02-19 03:27:36
"Vital Energy, Inc.",VTLE,"$2,836,609,005",$2.16,,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
American States Water Company,AWR,"$2,799,236,414",$0.60,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
St. Joe Company (The),JOE,"$2,791,984,761",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
The Cheesecake Factory Incorporated,CAKE,"$2,722,459,091",$0.92,,time-after-hours,Dec/2024,11,,2025-02-19 03:27:36
Park Hotels & Resorts Inc.,PK,"$2,658,491,492",$0.37,,time-after-hours,Dec/2024,7,,2025-02-19 03:27:36
Manchester United Ltd.,MANU,"$2,654,902,602",($0.07),,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
"Coeur Mining, Inc.",CDE,"$2,638,980,286",$0.14,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
"Oceaneering International, Inc.",OII,"$2,575,008,672",$0.45,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
"Mister Car Wash, Inc.",MCW,"$2,542,552,231",$0.06,,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
OneSpaWorld Holdings Limited,OSW,"$2,339,593,695",$0.18,,time-pre-market,Dec/2024,4,,2025-02-19 03:27:36
Appian Corporation,APPN,"$2,338,532,601",($0.14),,time-pre-market,Dec/2024,4,,2025-02-19 03:27:36
Bausch Health Companies Inc.,BHC,"$2,265,668,950",$1.12,,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
"OPENLANE, Inc.",KAR,"$2,200,992,600",$0.21,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"Trupanion, Inc.",TRUP,"$2,101,508,599",$0.06,,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
"Innovative Industrial Properties, Inc.",IIPR,"$2,071,056,992",$2.08,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
Enovix Corporation,ENVX,"$2,037,838,985",($0.25),,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
