Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"Okta, Inc.",OKTA,"$15,283,140,231",$0.16,time-after-hours,Jan/2025,12,($0.14),2025-03-03 05:19:02
GitLab Inc.,GTLB,"$9,744,492,000",($0.06),time-after-hours,Jan/2025,3,($0.12),2025-03-03 05:19:02
"TG Therapeutics, Inc.",TGTX,"$4,441,131,979",$0.08,time-pre-market,Dec/2024,5,($0.09),2025-03-03 05:19:02
NuScale Power Corporation,SMR,"$4,267,124,302",($0.11),time-after-hours,Dec/2024,1,($0.25),2025-03-03 05:19:02
California Resources Corporation,CRC,"$4,097,395,485",$0.96,time-pre-market,Dec/2024,4,$0.93,2025-03-03 05:19:02
Transportadora De Gas Sa Ord B,TGS,"$3,736,705,902",$0.50,time-not-supplied,Dec/2024,1,($0.38),2025-03-03 05:19:02
ADMA Biologics Inc,ADMA,"$3,649,865,506",$0.15,time-after-hours,Dec/2024,1,$0.04,2025-03-03 05:19:02
Burford Capital Limited,BUR,"$3,416,399,045",$0.56,time-pre-market,Dec/2024,2,$0.45,2025-03-03 05:19:02
"Surgery Partners, Inc.",SGRY,"$3,129,534,715",$0.38,time-pre-market,Dec/2024,2,$0.40,2025-03-03 05:19:02
Nomad Foods Limited,NOMD,"$3,036,540,364",$0.39,time-pre-market,Dec/2024,2,$0.34,2025-03-03 05:19:02
BBB Foods Inc.,TBBB,"$2,940,781,710",$0.02,time-not-supplied,Dec/2024,1,N/A,2025-03-03 05:19:02
"Concentra Group Holdings Parent, Inc.",CON,"$2,891,970,953",$0.16,time-after-hours,Dec/2024,1,N/A,2025-03-03 05:19:02
NCR Atleos Corporation,NATL,"$2,036,903,190",$0.94,time-after-hours,Dec/2024,1,$0.40,2025-03-03 05:19:02
"N-able, Inc.",NABL,"$1,874,274,751",$0.04,time-pre-market,Dec/2024,2,$0.06,2025-03-03 05:19:02
Sphere Entertainment Co.,SPHR,"$1,539,110,223",($2.15),time-pre-market,Dec/2024,2,($4.91),2025-03-03 05:19:02
"Air Transport Services Group, Inc",ATSG,"$1,469,076,255",$0.35,time-not-supplied,Dec/2024,2,$0.18,2025-03-03 05:19:02
FS Credit Opportunities Corp.,FSCO,"$1,376,589,946",,time-after-hours,Dec/2024,1,N/A,2025-03-03 05:19:02
Hut 8 Corp.,HUT,"$1,348,503,536",($0.18),time-pre-market,Dec/2024,1,N/A,2025-03-03 05:19:02
"Syndax Pharmaceuticals, Inc.",SNDX,"$1,304,265,274",($1.08),time-pre-market,Dec/2024,7,$1,2025-03-03 05:19:02
Viant Technology Inc.,DSP,"$1,302,918,291",$0.04,time-after-hours,Dec/2024,1,($0.28),2025-03-03 05:19:02
Fortrea Holdings Inc.,FTRE,"$1,260,285,000",$0.36,time-pre-market,Dec/2024,4,$0.19,2025-03-03 05:19:02
Dave Inc. ,DAVE,"$1,234,109,278",$0.50,time-after-hours,Dec/2024,2,$0.03,2025-03-03 05:19:02
Ready Capital Corporation,RC,"$1,146,008,787",$0.21,time-pre-market,Dec/2024,4,$0.26,2025-03-03 05:19:02
"Exodus Movement, Inc.",EXOD,"$1,135,373,023",$0.10,time-after-hours,Dec/2024,1,N/A,2025-03-03 05:19:02
"BioLife Solutions, Inc.",BLFS,"$1,093,810,506",($0.06),time-pre-market,Dec/2024,3,($0.22),2025-03-03 05:19:02
"Ocular Therapeutix, Inc.",OCUL,"$1,091,088,943",($0.24),time-pre-market,Dec/2024,6,($0.28),2025-03-03 05:19:02
MRC Global Inc.,MRC,"$1,034,850,044",$0.08,time-after-hours,Dec/2024,1,$0.23,2025-03-03 05:19:02
Atlanticus Holdings Corporation,ATLC,"$806,215,751",$1.21,time-not-supplied,Dec/2024,3,$1.10,2025-03-03 05:19:02
Avadel Pharmaceuticals plc,AVDL,"$740,056,535",($0.05),time-pre-market,Dec/2024,7,($0.32),2025-03-03 05:19:02
GigaCloud Technology Inc,GCT,"$715,365,096",$0.90,time-after-hours,Dec/2024,1,$0.87,2025-03-03 05:19:02
Whitestone REIT,WSR,"$677,649,809",$0.26,time-after-hours,Dec/2024,2,$0.21,2025-03-03 05:19:02
"Heidrick & Struggles International, Inc.",HSII,"$668,010,551",$0.63,time-after-hours,Dec/2024,3,$0.72,2025-03-03 05:19:02
Repay Holdings Corporation,RPAY,"$662,631,798",$0.19,time-after-hours,Dec/2024,2,$0.21,2025-03-03 05:19:02
Crawford & Company,CRD.A,"$592,049,860",,time-after-hours,Dec/2024,N/A,$0.06,2025-03-03 05:19:02
Crawford & Company,CRD.B,"$582,737,818",$0.23,time-after-hours,Dec/2024,2,$0.07,2025-03-03 05:19:02
BRC Inc.,BRCC,"$514,837,738",$0,time-after-hours,Dec/2024,5,$0.19,2025-03-03 05:19:02
"Senseonics Holdings, Inc.",SENS,"$489,686,992",($0.03),time-after-hours,Dec/2024,4,($0.03),2025-03-03 05:19:02
"Ramaco Resources, Inc.",METCB,"$478,470,304",,time-not-supplied,Dec/2024,1,N/A,2025-03-03 05:19:02
Emergent BioSolutions Inc.,EBS,"$382,540,353",($0.35),time-after-hours,Dec/2024,1,($0.77),2025-03-03 05:19:02
"Ranger Energy Services, Inc.",RNGR,"$366,601,094",,time-after-hours,Dec/2024,1,$0.09,2025-03-03 05:19:02
"Astria Therapeutics, Inc.",ATXS,"$356,099,922",($0.45),time-not-supplied,Dec/2024,5,($0.86),2025-03-03 05:19:02
"Intrepid Potash, Inc",IPI,"$343,691,700",$0.01,time-after-hours,Dec/2024,1,($0.41),2025-03-03 05:19:02
ThredUp Inc.,TDUP,"$273,018,278",($0.08),time-after-hours,Dec/2024,1,($0.14),2025-03-03 05:19:02
Neurogene Inc.,NGNE,"$254,015,798",($1.10),time-not-supplied,Dec/2024,1,N/A,2025-03-03 05:19:02
"W&T Offshore, Inc.",WTI,"$251,981,474",($0.18),time-after-hours,Dec/2024,2,($0.06),2025-03-03 05:19:02
ContextLogic Inc.,LOGC,"$226,314,324",,time-not-supplied,Dec/2024,1,($2.82),2025-03-03 05:19:02
"AG Mortgage Investment Trust, Inc.",MITT,"$221,028,409",$0.19,time-pre-market,Dec/2024,1,$0.17,2025-03-03 05:19:02
Sunnova Energy International Inc.,NOVA,"$214,918,565",($0.81),time-pre-market,Dec/2024,8,($0.20),2025-03-03 05:19:02
Quantum-Si Incorporated,QSI,"$192,662,350",($0.18),time-after-hours,Dec/2024,1,($0.16),2025-03-03 05:19:02
"B. Riley Financial, Inc.",RILY,"$186,947,015",,time-after-hours,Dec/2024,1,($1.86),2025-03-03 05:19:02
"James River Group Holdings, Ltd.",JRVR,"$184,229,543",($0.33),time-after-hours,Dec/2024,1,$0.33,2025-03-03 05:19:02
"Stereotaxis, Inc.",STXS,"$183,863,030",($0.05),time-pre-market,Dec/2024,2,($0.07),2025-03-03 05:19:02
Nektar Therapeutics,NKTR,"$146,865,686",($0.13),time-not-supplied,Dec/2024,8,($0.22),2025-03-03 05:19:02
"Fate Therapeutics, Inc.",FATE,"$124,144,823",($0.44),time-not-supplied,Dec/2024,9,($0.45),2025-03-03 05:19:02
INNOVATE Corp.,VATE,"$118,291,501",,time-not-supplied,Dec/2024,1,($1.20),2025-03-03 05:19:02
"Biodesix, Inc.",BDSX,"$118,279,458",($0.07),time-after-hours,Dec/2024,1,($0.10),2025-03-03 05:19:02
OFS Capital Corporation,OFS,"$112,811,817",,time-after-hours,Dec/2024,N/A,$0.35,2025-03-03 05:19:02
"Smart Sand, Inc.",SND,"$93,564,070",$0.09,time-after-hours,Dec/2024,1,($0.12),2025-03-03 05:19:02
"Akoya BioSciences, Inc.",AKYA,"$81,779,587",($0.15),time-not-supplied,Dec/2024,3,($0.22),2025-03-03 05:19:02
Vicarious Surgical Inc.,RBOT,"$69,716,984",($2.75),time-not-supplied,Dec/2024,1,($2.10),2025-03-03 05:19:02
"Mersana Therapeutics, Inc.",MRSN,"$62,124,700",($0.16),time-pre-market,Dec/2024,5,($0.16),2025-03-03 05:19:02
Toro Corp.,TORO,"$49,537,443",,time-not-supplied,Dec/2024,1,$0.16,2025-03-03 05:19:02
"Investcorp Credit Management BDC, Inc.",ICMB,"$46,676,231",,time-not-supplied,Dec/2024,1,$0.14,2025-03-03 05:19:02
"FibroGen, Inc",FGEN,"$40,640,603",($0.14),time-not-supplied,Dec/2024,2,($0.57),2025-03-03 05:19:02
Beamr Imaging Ltd.,BMR,"$39,085,200",,time-not-supplied,Dec/2024,1,N/A,2025-03-03 05:19:02
"Passage Bio, Inc.",PASG,"$31,495,139",($0.21),time-not-supplied,Dec/2024,2,($0.30),2025-03-03 05:19:02
"Cara Therapeutics, Inc.",CARA,"$22,079,345",,time-not-supplied,Dec/2024,N/A,($7.08),2025-03-03 05:19:02
"Beasley Broadcast Group, Inc.",BBGI,"$14,263,207",,time-not-supplied,Dec/2024,N/A,($2.60),2025-03-03 05:19:02
"Ekso Bionics Holdings, Inc.",EKSO,"$11,362,158",($0.06),time-after-hours,Dec/2024,1,($0.22),2025-03-03 05:19:02
"Fractyl Health, Inc.",GUTS,,($0.44),time-after-hours,Dec/2024,2,($8.02),2025-03-03 05:19:02
"Kayne Anderson BDC, Inc.",KBDC,,$0.51,time-after-hours,Dec/2024,1,N/A,2025-03-03 05:19:02
