Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Adobe Inc.,ADBE,"$195,623,820,000",$4.07,time-after-hours,Feb/2025,12,$3.53,2025-03-12 05:18:57
Crown Castle Inc.,CCI,"$42,473,282,868",$1.74,time-after-hours,Dec/2024,6,$1.82,2025-03-12 05:18:57
"Williams-Sonoma, Inc.",WSM,"$23,193,260,261",$2.91,time-not-supplied,Jan/2025,9,$2.72,2025-03-12 05:18:57
"UiPath, Inc.",PATH,"$6,765,562,816",$0.04,time-after-hours,Jan/2025,6,$0.06,2025-03-12 05:18:57
"SentinelOne, Inc.",S,"$6,375,415,241",($0.18),time-after-hours,Jan/2025,11,($0.21),2025-03-12 05:18:57
Macro Bank Inc.,BMA,"$5,450,999,320",$2.41,time-not-supplied,Dec/2024,2,$8.89,2025-03-12 05:18:57
ABM Industries Incorporated,ABM,"$3,398,792,191",$0.78,time-pre-market,Jan/2025,5,$0.86,2025-03-12 05:18:57
"VNET Group, Inc.",VNET,"$3,062,102,119",$0.03,time-pre-market,Dec/2024,1,($0.51),2025-03-12 05:18:57
ZIM Integrated Shipping Services Ltd.,ZIM,"$2,495,947,510",$3.47,time-pre-market,Dec/2024,3,($1.23),2025-03-12 05:18:57
"American Eagle Outfitters, Inc.",AEO,"$2,464,665,876",$0.50,time-after-hours,Jan/2025,7,$0.61,2025-03-12 05:18:57
"Sprinklr, Inc.",CXM,"$2,144,447,080",$0.02,time-pre-market,Jan/2025,6,$0.07,2025-03-12 05:18:57
National Steel Company,SID,"$2,042,184,678",($0.09),time-after-hours,Dec/2024,1,$0.13,2025-03-12 05:18:57
Arcos Dorados Holdings Inc.,ARCO,"$1,697,879,050",$0.22,time-pre-market,Dec/2024,1,$0.27,2025-03-12 05:18:57
EHang Holdings Limited,EH,"$1,439,675,148",,time-pre-market,Dec/2024,N/A,($0.16),2025-03-12 05:18:57
Hello Group Inc. ,MOMO,"$1,434,700,859",$0.17,time-pre-market,Dec/2024,1,$0.33,2025-03-12 05:18:57
NextNav Inc.,NN,"$1,386,585,162",($0.14),time-after-hours,Dec/2024,2,($0.15),2025-03-12 05:18:57
"Phreesia, Inc.",PHR,"$1,375,797,021",($0.19),time-after-hours,Jan/2025,5,($0.56),2025-03-12 05:18:57
Universal Corporation,UVV,"$1,353,903,318",,time-not-supplied,Dec/2024,2,$2.16,2025-03-12 05:18:57
Liquidia Corporation,LQDA,"$1,254,314,723",($0.39),time-not-supplied,Dec/2024,6,($0.42),2025-03-12 05:18:57
Smith Douglas Homes Corp.,SDHC,"$1,104,102,558",$0.46,time-pre-market,Dec/2024,2,N/A,2025-03-12 05:18:57
Navigator Holdings Ltd.,NVGS,"$1,054,935,724",$0.31,time-pre-market,Dec/2024,2,$0.32,2025-03-12 05:18:57
CI&T Inc,CINT,"$935,507,617",,time-after-hours,Dec/2024,N/A,$0.07,2025-03-12 05:18:57
Vivid Seats Inc.,SEAT,"$826,826,489",$0.03,time-pre-market,Dec/2024,2,N/A,2025-03-12 05:18:57
National Energy Services Reunited Corp,NESR,"$755,634,948",$0.30,time-pre-market,Dec/2024,2,N/A,2025-03-12 05:18:57
Aris Mining Corporation,ARMN,"$674,431,726",$0.18,time-after-hours,Dec/2024,2,$0.09,2025-03-12 05:18:57
"LENZ Therapeutics, Inc.",LENZ,"$651,221,123",($0.44),time-not-supplied,Dec/2024,2,N/A,2025-03-12 05:18:57
BingEx Limited,FLX,"$607,575,330",,time-pre-market,Dec/2024,2,N/A,2025-03-12 05:18:57
Legacy Housing Corporation,LEGH,"$604,682,524",,time-after-hours,Dec/2024,N/A,$0.28,2025-03-12 05:18:57
Vizsla Silver Corp.,VZLA,"$589,651,941",($0.01),time-not-supplied,Jan/2025,2,($0.01),2025-03-12 05:18:57
Magic Software Enterprises Ltd.,MGIC,"$584,281,730",$0.25,time-not-supplied,Dec/2024,1,$0.24,2025-03-12 05:18:57
Target Hospitality Corp.,TH,"$578,805,786",$0.07,time-not-supplied,Dec/2024,3,$0.29,2025-03-12 05:18:57
Waterdrop Inc.,WDH,"$470,105,995",,time-pre-market,Dec/2024,N/A,$0.02,2025-03-12 05:18:57
"Montauk Renewables, Inc.",MNTK,"$445,873,304",$0.05,time-after-hours,Dec/2024,1,$0.04,2025-03-12 05:18:57
AirJoule Technologies Corporation,AIRJ,"$423,849,622",($0.07),time-not-supplied,Dec/2024,2,N/A,2025-03-12 05:18:57
"Calavo Growers, Inc.",CVGW,"$420,961,484",,time-after-hours,Jan/2025,N/A,($0.01),2025-03-12 05:18:57
Limoneira Co,LMNR,"$395,838,884",($0.24),time-after-hours,Jan/2025,1,($0.23),2025-03-12 05:18:57
Artesian Resources Corporation,ARTNA,"$339,935,164",$0.32,time-not-supplied,Dec/2024,1,$0.34,2025-03-12 05:18:57
SBC Medical Group Holdings Incorporated,SBC,"$337,908,276",$0.17,time-not-supplied,Dec/2024,2,N/A,2025-03-12 05:18:57
"Chicago Atlantic Real Estate Finance, Inc.",REFI,"$317,096,884",$0.44,time-pre-market,Dec/2024,2,$0.50,2025-03-12 05:18:57
Logistic Properties of the Americas,LPA,"$305,681,961",,time-not-supplied,Dec/2024,2,N/A,2025-03-12 05:18:57
Ur Energy Inc,URG,"$302,203,862",($0.05),time-not-supplied,Dec/2024,2,($0.02),2025-03-12 05:18:57
"Septerna, Inc.",SEPN,"$285,509,631",($0.56),time-not-supplied,Dec/2024,2,N/A,2025-03-12 05:18:57
"Spire Global, Inc.",SPIR,"$284,954,448",($0.97),time-not-supplied,Dec/2024,1,($0.52),2025-03-12 05:18:57
Berry Corporation (bry),BRY,"$273,902,819",$0.12,time-after-hours,Dec/2024,2,$0.13,2025-03-12 05:18:57
Alumis Inc.,ALMS,"$265,507,756",($1.39),time-not-supplied,Dec/2024,2,N/A,2025-03-12 05:18:57
TAT Technologies Ltd.,TATT,"$263,981,252",,time-not-supplied,Dec/2024,2,$0.04,2025-03-12 05:18:57
Vasta Platform Limited,VSTA,"$260,017,174",$0.25,time-after-hours,Dec/2024,2,$0.22,2025-03-12 05:18:57
"Microvision, Inc.",MVIS,"$254,061,089",,time-not-supplied,Dec/2024,N/A,($0.10),2025-03-12 05:18:57
Anika Therapeutics Inc.,ANIK,"$243,409,806",($0.11),time-after-hours,Dec/2024,1,$0.05,2025-03-12 05:18:57
Biote Corp.,BTMD,"$231,476,208",$0.09,time-after-hours,Dec/2024,3,$0.14,2025-03-12 05:18:57
Amarin Corporation plc,AMRN,"$218,009,209",($0.08),time-pre-market,Dec/2024,2,($0.01),2025-03-12 05:18:57
"Performant Healthcare, Inc.",PHLT,"$216,867,078",,time-after-hours,Dec/2024,N/A,$0.02,2025-03-12 05:18:57
iRobot Corporation,IRBT,"$216,356,361",($1.67),time-pre-market,Dec/2024,1,($2.18),2025-03-12 05:18:57
"Lyell Immunopharma, Inc.",LYEL,"$207,516,760",($0.18),time-not-supplied,Dec/2024,3,($0.20),2025-03-12 05:18:57
ContextLogic Inc.,LOGC,"$190,566,649",,time-after-hours,Dec/2024,2,($2.82),2025-03-12 05:18:57
"United Homes Group, Inc",UHG,"$187,343,008",,time-pre-market,Dec/2024,2,$0.05,2025-03-12 05:18:57
Ellington Credit Company,EARN,"$184,610,211",$0.26,time-not-supplied,Dec/2024,1,$0.27,2025-03-12 05:18:57
ADC Therapeutics SA,ADCT,"$177,908,895",($0.39),time-not-supplied,Dec/2024,3,($1.03),2025-03-12 05:18:57
"Perma-Fix Environmental Services, Inc.",PESI,"$172,050,110",,time-not-supplied,Dec/2024,2,$0.04,2025-03-12 05:18:57
The Beauty Health Company,SKIN,"$161,358,805",($0.10),time-after-hours,Dec/2024,5,($0.07),2025-03-12 05:18:57
BankFinancial Corporation,BFIN,"$160,119,712",$0.20,time-not-supplied,Dec/2024,2,$0.17,2025-03-12 05:18:57
ProQR Therapeutics N.V.,PRQR,"$155,387,271",($0.07),time-not-supplied,Dec/2024,3,($0.08),2025-03-12 05:18:57
"AudioEye, Inc.",AEYE,"$153,566,219",$0.09,time-after-hours,Dec/2024,2,$0.06,2025-03-12 05:18:57
Magnachip Semiconductor Corporation,MX,"$153,275,466",($0.27),time-pre-market,Dec/2024,2,($0.26),2025-03-12 05:18:57
scPharmaceuticals Inc.,SCPH,"$146,617,593",($0.40),time-not-supplied,Dec/2024,4,($0.35),2025-03-12 05:18:57
Kewaunee Scientific Corporation,KEQU,"$145,744,256",,time-after-hours,Jan/2025,2,$0.85,2025-03-12 05:18:57
"KORU Medical Systems, Inc.",KRMD,"$144,845,881",($0.03),time-after-hours,Dec/2024,2,($0.02),2025-03-12 05:18:57
"RCM Technologies, Inc.",RCMT,"$141,760,542",,time-after-hours,Dec/2024,N/A,$0.71,2025-03-12 05:18:57
Neonode Inc.,NEON,"$140,808,716",,time-not-supplied,Dec/2024,N/A,($0.39),2025-03-12 05:18:57
PHX Minerals Inc.,PHX,"$137,929,307",,time-after-hours,Dec/2024,2,$0.07,2025-03-12 05:18:57
"Brilliant Earth Group, Inc.",BRLT,"$134,030,173",($0.03),time-after-hours,Dec/2024,5,$0.02,2025-03-12 05:18:57
"Freightcar America, Inc.",RAIL,"$132,446,744",$0.05,time-after-hours,Dec/2024,2,($0.07),2025-03-12 05:18:57
"Tilly's, Inc.",TLYS,"$124,527,376",($0.28),time-after-hours,Jan/2025,1,($0.17),2025-03-12 05:18:57
Adaptimmune Therapeutics plc,ADAP,"$122,823,939",($0.14),time-not-supplied,Dec/2024,4,($0.24),2025-03-12 05:18:57
"Vacasa, Inc.",VCSA,"$116,135,175",($3.07),time-not-supplied,Dec/2024,2,($3.48),2025-03-12 05:18:57
Oramed Pharmaceuticals Inc.,ORMP,"$103,602,017",($0.03),time-not-supplied,Dec/2024,2,($0.08),2025-03-12 05:18:57
