Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
Coca-Cola Europacific Partners plc,CCEP,"$42,645,865,297",,time-not-supplied,Mar/2025,1,N/A,2025-06-13 05:20:51
KT Corporation,KT,"$9,725,151,344",,time-not-supplied,Mar/2025,N/A,$0.57,2025-06-13 05:20:51
Sibanye Stillwater Limited,SBSW,"$4,939,339,876",,time-not-supplied,Mar/2025,1,N/A,2025-06-13 05:20:51
Cheetah Mobile Inc.,CMCM,"$3,145,795,184",,time-not-supplied,Mar/2025,1,($0.36),2025-06-13 05:20:51
Gencor Industries Inc.,GENC,"$210,191,447",,time-not-supplied,Mar/2025,1,$0.42,2025-06-13 05:20:51
ALT5 Sigma Corporation,ALTS,"$169,921,115",,time-not-supplied,Mar/2025,1,($0.34),2025-06-13 05:20:51
"Vroom, Inc.",VRM,"$144,571,672",,time-not-supplied,Mar/2025,1,($99.99),2025-06-13 05:20:51
FST Corp.,KBSX,"$85,313,601",,time-not-supplied,Mar/2025,1,($0.10),2025-06-13 05:20:51
180 Degree Capital Corp.,TURN,"$39,350,555",,time-not-supplied,Mar/2025,1,N/A,2025-06-13 05:20:51
Toro Corp.,TORO,"$39,056,476",,time-not-supplied,Mar/2025,1,$0.51,2025-06-13 05:20:51
MoneyHero Limited,MNY,"$36,675,902",,time-pre-market,Mar/2025,N/A,($0.30),2025-06-13 05:20:51
Globus Maritime Limited,GLBS,"$23,875,469",,time-not-supplied,Mar/2025,1,($0.01),2025-06-13 05:20:51
BriaCell Therapeutics Corp.,BCTX,"$12,945,946",($1.76),time-not-supplied,Apr/2025,1,$1.65,2025-06-13 05:20:51
ZOOZ Power Ltd.,ZOOZ,"$12,831,826",,time-not-supplied,Mar/2025,1,N/A,2025-06-13 05:20:51
Wetouch Technology Inc.,WETH,"$11,334,957",,time-not-supplied,Mar/2025,1,$0.04,2025-06-13 05:20:51
Safe & Green Holdings Corp.,SGBX,"$4,968,757",,time-not-supplied,Mar/2025,1,($4.93),2025-06-13 05:20:51
CIMG Inc.,IMG,"$2,001,567",,time-not-supplied,Mar/2025,1,($1.28),2025-06-13 05:20:51
