Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"Goldman Sachs Group, Inc. (The)",GS,"$152,836,718,363",$12.71,time-pre-market,Mar/2025,7,$11.58,2025-04-14 05:20:51
M&T Bank Corporation,MTB,"$25,940,035,714",$3.41,time-pre-market,Mar/2025,8,$3.09,2025-04-14 05:20:51
"Pinnacle Financial Partners, Inc.",PNFP,"$6,988,536,811",$1.81,time-after-hours,Mar/2025,4,$1.53,2025-04-14 05:20:51
FB Financial Corporation,FBK,"$1,904,002,758",$0.85,time-after-hours,Mar/2025,3,$0.85,2025-04-14 05:20:51
"Kestra Medical Technologies, Ltd.",KMTS,"$1,153,165,501",,time-after-hours,Mar/2025,3,N/A,2025-04-14 05:20:51
Applied Digital Corporation,APLD,"$1,143,494,806",($0.11),time-after-hours,Feb/2025,3,($0.52),2025-04-14 05:20:51
"Red Cat Holdings, Inc.",RCAT,"$464,932,536",,time-not-supplied,Jan/2025,N/A,($0.08),2025-04-14 05:20:51
Skillsoft Corp.,SKIL,"$152,086,070",($2.48),time-after-hours,Jan/2025,1,($3.09),2025-04-14 05:20:51
"AstroNova, Inc.",ALOT,"$65,500,891",,time-pre-market,Jan/2025,3,$0.33,2025-04-14 05:20:51
Zhibao Technology Inc.,ZBAO,"$37,040,424",,time-after-hours,Mar/2025,3,N/A,2025-04-14 05:20:51
"Health In Tech, Inc.",HIT,"$35,248,437",$0.02,time-after-hours,Mar/2025,3,N/A,2025-04-14 05:20:51
InnSuites Hospitality Trust,IHT,"$21,470,538",,time-not-supplied,Jan/2025,3,($0.01),2025-04-14 05:20:51
Jewett-Cameron Trading Company,JCTC,"$13,192,946",,time-after-hours,Feb/2025,3,($0.15),2025-04-14 05:20:51
