Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
J P Morgan Chase & Co,JPM,"$655,239,503,240",$4.62,time-pre-market,Mar/2025,9,$4.63,2025-04-11 05:20:35
Wells Fargo & Company,WFC,"$218,105,415,984",$1.23,time-pre-market,Mar/2025,9,$1.26,2025-04-11 05:20:35
Morgan Stanley,MS,"$180,155,968,845",$2.23,time-pre-market,Mar/2025,7,$2.02,2025-04-11 05:20:35
Progressive Corporation (The),PGR,"$158,340,556,175",$4.60,time-not-supplied,Mar/2025,10,$3.73,2025-04-11 05:20:35
"BlackRock, Inc.",BLK,"$139,274,758,646",$10.43,time-pre-market,Mar/2025,7,$9.81,2025-04-11 05:20:35
The Bank Of New York Mellon Corporation ,BK,"$56,840,043,736",$1.49,time-pre-market,Mar/2025,7,$1.29,2025-04-11 05:20:35
Fastenal Company,FAST,"$43,849,404,765",$0.52,time-pre-market,Mar/2025,7,$0.52,2025-04-11 05:20:35
Hingham Institution for Savings,HIFS,"$511,618,050",,time-not-supplied,Mar/2025,1,$1.01,2025-04-11 05:20:35
"Unity Bancorp, Inc.",UNTY,"$414,574,148",$1.12,time-not-supplied,Mar/2025,2,$0.93,2025-04-11 05:20:35
"Innventure, Inc.",INV,"$191,254,018",($0.12),time-pre-market,Mar/2025,1,N/A,2025-04-11 05:20:35
Virco Manufacturing Corporation,VIRC,"$159,636,179",($0.15),time-not-supplied,Jan/2025,1,($0.14),2025-04-11 05:20:35
GoldMining Inc.,GLDG,"$141,902,618",($0.02),time-not-supplied,Feb/2025,1,($0.01),2025-04-11 05:20:35
"Children's Place, Inc. (The)",PLCE,"$89,306,819",,time-after-hours,Jan/2025,1,($7.38),2025-04-11 05:20:35
TRX Gold Corporation,TRX,"$78,598,786",$0.01,time-not-supplied,Feb/2025,1,N/A,2025-04-11 05:20:35
Beam Global,BEEM,"$24,967,893",($0.16),time-after-hours,Mar/2025,1,($0.21),2025-04-11 05:20:35
"Biomerica, Inc.",BMRA,"$9,867,136",,time-not-supplied,Feb/2025,1,($0.11),2025-04-11 05:20:35
