Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
"Home Depot, Inc. (The)",HD,"$382,742,614,403",$3.04,time-pre-market,Jan/2025,13,$2.82,2025-02-25 05:18:17
Intuit Inc.,INTU,"$158,351,391,450",$1.27,time-after-hours,Jan/2025,9,$1.31,2025-02-25 05:18:17
American Tower Corporation (REIT),AMT,"$89,509,284,378",$2.24,time-pre-market,Dec/2024,4,$2.29,2025-02-25 05:18:17
Bank Of Montreal,BMO,"$73,285,570,000",$1.68,time-pre-market,Jan/2025,4,$1.90,2025-02-25 05:18:17
"Workday, Inc.",WDAY,"$68,199,740,000",$0.58,time-after-hours,Jan/2025,6,$0.21,2025-02-25 05:18:17
Bank of Nova Scotia (The),BNS,"$62,844,018,000",$1.17,time-pre-market,Jan/2025,4,$1.25,2025-02-25 05:18:17
Sempra ,SRE,"$55,169,075,894",$1.63,time-pre-market,Dec/2024,3,$1.13,2025-02-25 05:18:17
Keurig Dr Pepper Inc.,KDP,"$46,173,682,211",$0.57,time-pre-market,Dec/2024,8,$0.55,2025-02-25 05:18:17
Alcon Inc.,ALC,"$45,127,907,000",$0.70,time-after-hours,Dec/2024,6,$0.70,2025-02-25 05:18:17
"Coupang, Inc.",CPNG,"$44,647,692,641",$0,time-after-hours,Dec/2024,2,$0.08,2025-02-25 05:18:17
Public Service Enterprise Group Incorporated,PEG,"$41,831,006,347",$0.83,time-pre-market,Dec/2024,6,$0.54,2025-02-25 05:18:17
"Axon Enterprise, Inc.",AXON,"$39,135,476,138",$0.38,time-after-hours,Dec/2024,5,$0.77,2025-02-25 05:18:17
Extra Space Storage Inc,EXR,"$33,058,837,585",$2.02,time-after-hours,Dec/2024,9,$2.02,2025-02-25 05:18:17
Keysight Technologies Inc.,KEYS,"$30,383,161,443",$1.49,time-after-hours,Jan/2025,4,$1.34,2025-02-25 05:18:17
Woodside Energy Group Limited,WDS,"$27,721,746,656",,time-not-supplied,Dec/2024,6,N/A,2025-02-25 05:18:17
Viking Holdings Ltd,VIK,"$20,727,099,352",$0.36,time-not-supplied,Dec/2024,6,N/A,2025-02-25 05:18:17
"First Solar, Inc.",FSLR,"$16,641,053,862",$4.69,time-after-hours,Dec/2024,13,$3.25,2025-02-25 05:18:17
Telefonica Brasil S.A.,VIV,"$15,121,183,494",$0.19,time-not-supplied,Dec/2024,2,$0.20,2025-02-25 05:18:17
"Amer Sports, Inc.",AS,"$14,450,138,760",$0.17,time-pre-market,Dec/2024,5,($0.11),2025-02-25 05:18:17
Fresenius Medical Care AG,FMS,"$13,549,833,074",$0.41,time-not-supplied,Dec/2024,4,$0.47,2025-02-25 05:18:17
Maplebear Inc.,CART,"$13,452,294,945",$0.37,time-after-hours,Dec/2024,11,$0.44,2025-02-25 05:18:17
"CAVA Group, Inc.",CAVA,"$12,366,588,532",$0.06,time-after-hours,Dec/2024,7,$0.02,2025-02-25 05:18:17
"Smith & Nephew SNATS, Inc.",SNN,"$11,423,875,535",,time-not-supplied,Dec/2024,6,N/A,2025-02-25 05:18:17
Permian Resources Corporation,PR,"$11,271,200,441",$0.34,time-after-hours,Dec/2024,8,$0.35,2025-02-25 05:18:17
Pinnacle West Capital Corporation,PNW,"$10,412,629,515",($0.15),time-pre-market,Dec/2024,4,N/A,2025-02-25 05:18:17
"Vaxcyte, Inc.",PCVX,"$9,938,518,178",($1.32),time-after-hours,Dec/2024,4,($1.82),2025-02-25 05:18:17
"Henry Schein, Inc.",HSIC,"$9,630,383,148",$1.19,time-pre-market,Dec/2024,4,$0.66,2025-02-25 05:18:17
Range Resources Corporation,RRC,"$9,285,595,216",$0.51,time-after-hours,Dec/2024,9,$0.63,2025-02-25 05:18:17
"Lucid Group, Inc.",LCID,"$9,215,760,873",($0.26),time-after-hours,Dec/2024,3,($0.29),2025-02-25 05:18:17
Masimo Corporation,MASI,"$9,099,754,597",$1.49,time-after-hours,Dec/2024,2,$1.25,2025-02-25 05:18:17
"Light & Wonder, Inc. ",LNW,"$8,992,392,031",$1.08,time-after-hours,Dec/2024,4,$0.73,2025-02-25 05:18:17
The Middleby Corporation,MIDD,"$8,987,222,907",$2.50,time-pre-market,Dec/2024,6,$2.65,2025-02-25 05:18:17
TopBuild Corp.,BLD,"$8,962,287,676",$5.08,time-pre-market,Dec/2024,7,$4.69,2025-02-25 05:18:17
Stantec Inc,STN,"$8,681,638,989",$0.69,time-pre-market,Dec/2024,5,$0.60,2025-02-25 05:18:17
Jazz Pharmaceuticals plc,JAZZ,"$8,222,429,057",$4.98,time-after-hours,Dec/2024,8,$4.40,2025-02-25 05:18:17
"Planet Fitness, Inc.",PLNT,"$8,196,296,188",$0.62,time-pre-market,Dec/2024,12,$0.60,2025-02-25 05:18:17
"ExlService Holdings, Inc.",EXLS,"$7,722,356,976",$0.32,time-after-hours,Dec/2024,6,$0.26,2025-02-25 05:18:17
"Caesars Entertainment, Inc.",CZR,"$7,509,056,275",($0.15),time-after-hours,Dec/2024,8,($0.34),2025-02-25 05:18:17
Chord Energy Corporation,CHRD,"$6,826,440,031",$2.75,time-after-hours,Dec/2024,6,$5.25,2025-02-25 05:18:17
CCC Intelligent Solutions Holdings Inc.,CCCS,"$6,523,989,343",$0.05,time-after-hours,Dec/2024,6,$0.04,2025-02-25 05:18:17
"SPX Technologies, Inc.",SPXC,"$6,504,120,138",$1.50,time-after-hours,Dec/2024,3,$1.25,2025-02-25 05:18:17
Armstrong World Industries Inc,AWI,"$6,402,666,585",$1.37,time-pre-market,Dec/2024,4,$1.22,2025-02-25 05:18:17
