Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
W.R. Berkley Corporation,WRB,"$25,958,023,533",$1.01,time-after-hours,Mar/2025,6,$1.04,2025-04-21 05:20:53
"Equity Lifestyle Properties, Inc.",ELS,"$12,408,995,055",$0.83,time-after-hours,Mar/2025,4,$0.78,2025-04-21 05:20:53
"Medpace Holdings, Inc.",MEDP,"$9,033,407,979",$3.06,time-after-hours,Mar/2025,5,$3.20,2025-04-21 05:20:53
AGNC Investment Corp.,AGNC,"$7,473,496,093",$0.40,time-after-hours,Mar/2025,4,$0.58,2025-04-21 05:20:53
Western Alliance Bancorporation,WAL,"$7,206,038,010",$1.78,time-after-hours,Mar/2025,6,$1.72,2025-04-21 05:20:53
Comerica Incorporated,CMA,"$6,901,160,892",$1.14,time-pre-market,Mar/2025,8,$1.29,2025-04-21 05:20:53
Wintrust Financial Corporation,WTFC,"$6,778,179,660",$2.52,time-after-hours,Mar/2025,5,$2.89,2025-04-21 05:20:53
Zions Bancorporation N.A.,ZION,"$6,412,587,624",$1.20,time-after-hours,Mar/2025,9,$1.03,2025-04-21 05:20:53
BOK Financial Corporation,BOKF,"$5,832,368,690",$2.01,time-after-hours,Mar/2025,2,$1.91,2025-04-21 05:20:53
Cadence Bank,CADE,"$5,093,299,551",$0.64,time-after-hours,Mar/2025,5,$0.62,2025-04-21 05:20:53
Hexcel Corporation,HXL,"$4,227,769,344",$0.43,time-after-hours,Mar/2025,8,$0.44,2025-04-21 05:20:53
"ServisFirst Bancshares, Inc.",SFBS,"$3,783,627,082",$1.18,time-after-hours,Mar/2025,2,$0.94,2025-04-21 05:20:53
Cathay General Bancorp,CATY,"$2,694,738,095",$0.95,time-after-hours,Mar/2025,2,$1.10,2025-04-21 05:20:53
Bank of Hawaii Corporation,BOH,"$2,553,804,262",$0.88,time-pre-market,Mar/2025,4,$0.87,2025-04-21 05:20:53
AZZ Inc.,AZZ,"$2,450,637,254",$0.95,time-after-hours,Feb/2025,4,$0.93,2025-04-21 05:20:53
"Calix, Inc",CALX,"$2,253,422,628",($0.14),time-after-hours,Mar/2025,3,$0.02,2025-04-21 05:20:53
"Dynex Capital, Inc.",DX,"$1,048,529,138",$0.14,time-pre-market,Mar/2025,1,($0.30),2025-04-21 05:20:53
"HBT Financial, Inc.",HBT,"$693,517,068",$0.57,time-pre-market,Mar/2025,3,$0.57,2025-04-21 05:20:53
Metropolitan Bank Holding Corp.,MCB,"$599,421,675",$1.61,time-after-hours,Mar/2025,1,$1.46,2025-04-21 05:20:53
Capital City Bank Group,CCBG,"$578,141,007",$0.75,time-pre-market,Mar/2025,1,$0.74,2025-04-21 05:20:53
TrustCo Bank Corp NY,TRST,"$541,111,859",,time-after-hours,Mar/2025,4,$0.64,2025-04-21 05:20:53
"Washington Trust Bancorp, Inc.",WASH,"$522,961,868",$0.62,time-pre-market,Mar/2025,2,$0.64,2025-04-21 05:20:53
"SmartFinancial, Inc.",SMBK,"$477,355,405",$0.55,time-after-hours,Mar/2025,3,$0.49,2025-04-21 05:20:53
"Guaranty Bancshares, Inc.",GNTY,"$445,554,622",$0.77,time-pre-market,Mar/2025,1,$0.58,2025-04-21 05:20:53
"Red Cat Holdings, Inc.",RCAT,"$415,232,851",,time-not-supplied,Jan/2025,N/A,($0.08),2025-04-21 05:20:53
"Home Bancorp, Inc.",HBCP,"$349,249,143",$1.13,time-after-hours,Mar/2025,2,$1.14,2025-04-21 05:20:53
"Flexsteel Industries, Inc.",FLXS,"$165,721,592",$0.88,time-after-hours,Mar/2025,1,$0.67,2025-04-21 05:20:53
InnSuites Hospitality Trust,IHT,"$21,207,634",,time-not-supplied,Jan/2025,4,($0.01),2025-04-21 05:20:53
